resample	median_variance
1	86.208333
2	103.458333
3	96.541667
4	69.863095
5	87.197917
6	119.812500
7	108.500000
8	74.906250
9	113.031250
10	127.166667
11	80.333333
12	133.333333
13	157.708333
14	97.541667
15	96.541667
16	86.112500
17	72.333333
18	88.041667
19	106.291667
20	79.987500
21	113.166667
22	73.114583
23	80.833333
24	111.125000
25	85.833333
26	75.000000
27	92.781250
28	114.083333
29	106.791667
30	84.833333
31	90.187500
32	105.777083
33	128.791667
34	127.537500
35	114.666667
36	131.656250
37	85.087500
38	103.250000
39	106.791667
40	98.791667
41	88.833333
42	83.662500
43	107.197917
44	77.958333
45	94.458333
46	91.370833
47	76.575000
48	82.708333
49	100.583333
50	102.458333
51	67.989583
52	114.333333
53	92.958333
54	104.154167
55	99.875000
56	81.152083
57	81.300000
58	83.833333
59	77.083333
60	122.625000
61	95.083333
62	86.720833
63	73.529167
64	84.614583
65	65.322917
66	104.879167
67	54.500000
68	73.129167
69	75.166667
70	88.462500
71	115.791667
72	102.041667
73	96.744048
74	125.291667
75	78.531250
76	81.187500
77	96.541667
78	133.708333
79	108.166667
80	81.029167
81	117.454167
82	76.541667
83	107.750000
84	122.833333
85	102.947917
86	99.726190
87	113.625000
88	101.041667
89	106.572917
90	82.437500
91	149.447917
92	98.812500
93	74.541667
94	113.425000
95	92.491667
96	87.500000
97	76.658333
98	103.200000
99	71.381250
100	87.279167
101	80.833333
102	81.000000
103	82.010417
104	75.750000
105	76.906250
106	83.833333
107	99.072917
108	94.072917
109	144.666667
110	104.375000
111	76.037500
112	91.375000
113	96.333333
114	131.250000
115	94.947917
116	79.754167
117	94.352083
118	104.837500
119	93.208333
120	115.666667
121	63.916667
122	70.562500
123	63.208333
124	100.708333
125	81.333333
126	75.875000
127	102.822917
128	142.937500
129	109.041667
130	117.520833
131	93.458333
132	94.087500
133	91.333333
134	108.281250
135	91.614583
136	125.291667
137	88.281250
138	89.041667
139	92.364583
140	80.208333
141	90.166667
142	84.987500
143	91.041667
144	69.729167
145	64.208333
146	145.041667
147	105.864583
148	81.489583
149	89.666667
150	93.258333
151	93.114583
152	107.420833
153	86.202083
154	92.833333
155	81.614583
156	127.947917
157	99.041667
158	85.958333
159	111.333333
160	92.958333
161	106.712500
162	65.041667
163	120.114583
164	83.333333
165	71.500000
166	79.541667
167	75.333333
168	103.416667
169	111.989583
170	123.250000
171	112.979167
172	117.541667
173	119.197917
174	86.791667
175	76.708333
176	113.083333
177	84.656250
178	102.333333
179	95.197917
180	76.416667
181	81.437500
182	115.541667
183	76.406250
184	71.333333
185	112.781250
186	71.291667
187	120.666667
188	90.693750
189	74.291667
190	89.281250
191	123.697917
192	146.854167
193	68.625000
194	79.212500
195	130.166667
196	88.583333
197	114.916667
198	127.629167
199	128.541667
200	64.879167
201	98.750000
202	95.208333
203	61.512500
204	84.791667
205	82.291667
206	102.312500
207	90.708333
208	96.333333
209	118.614583
210	51.520833
211	101.708333
212	96.906250
213	83.291667
214	85.958333
215	108.572917
216	99.583333
217	117.443750
218	64.447917
219	106.312500
220	107.364583
221	100.791667
222	82.958333
223	68.729167
224	117.875000
225	101.333333
226	78.375000
227	74.041667
228	74.812500
229	84.125000
230	77.791667
231	85.891667
232	91.666667
233	104.958333
234	125.156250
235	76.458333
236	70.312500
237	92.829167
238	112.958333
239	70.666667
240	77.666667
241	93.500000
242	98.739583
243	80.879167
244	95.500000
245	70.613095
