removed_orthogroup	removed_units	retained_units	loo_median_variance	change_from_full_median
orthogroup_100	1	92	24.659523999999998	1.9595239999999983
orthogroup_1014	1	92	24.659523999999998	1.9595239999999983
orthogroup_1024	1	92	21.475	-1.2249999999999979
orthogroup_1038	1	92	24.659523999999998	1.9595239999999983
orthogroup_105	1	92	24.659523999999998	1.9595239999999983
orthogroup_1154	1	92	21.475	-1.2249999999999979
orthogroup_1158	1	92	24.659523999999998	1.9595239999999983
orthogroup_119	1	92	24.659523999999998	1.9595239999999983
orthogroup_1208	1	92	21.475	-1.2249999999999979
orthogroup_1267	1	92	24.659523999999998	1.9595239999999983
orthogroup_1271	2	91	26.619048	3.919048
orthogroup_1335	1	92	21.475	-1.2249999999999979
orthogroup_1363	1	92	21.475	-1.2249999999999979
orthogroup_1365	1	92	21.475	-1.2249999999999979
orthogroup_1379	2	91	22.7	0.0
orthogroup_139	1	92	21.475	-1.2249999999999979
orthogroup_14	1	92	24.659523999999998	1.9595239999999983
orthogroup_1406	3	90	20.166666499999998	-2.5333335000000012
orthogroup_1435	1	92	24.659523999999998	1.9595239999999983
orthogroup_1445	1	92	24.659523999999998	1.9595239999999983
orthogroup_1453	1	92	21.475	-1.2249999999999979
orthogroup_1462	1	92	21.475	-1.2249999999999979
orthogroup_1538	1	92	21.475	-1.2249999999999979
orthogroup_1554	2	91	26.619048	3.919048
orthogroup_1557	1	92	24.659523999999998	1.9595239999999983
orthogroup_156	1	92	24.659523999999998	1.9595239999999983
orthogroup_159	1	92	24.659523999999998	1.9595239999999983
orthogroup_1636	1	92	21.475	-1.2249999999999979
orthogroup_1644	1	92	24.659523999999998	1.9595239999999983
orthogroup_1663	1	92	21.475	-1.2249999999999979
orthogroup_1733	1	92	21.475	-1.2249999999999979
orthogroup_1742	2	91	20.25	-2.4499999999999993
orthogroup_1784	1	92	21.475	-1.2249999999999979
orthogroup_1804	1	92	24.659523999999998	1.9595239999999983
orthogroup_1808	1	92	21.475	-1.2249999999999979
orthogroup_1811	3	90	21.475	-1.2249999999999979
orthogroup_1831	1	92	24.659523999999998	1.9595239999999983
orthogroup_195	1	92	24.659523999999998	1.9595239999999983
orthogroup_2	1	92	21.475	-1.2249999999999979
orthogroup_203	1	92	24.659523999999998	1.9595239999999983
orthogroup_204	1	92	21.475	-1.2249999999999979
orthogroup_22	1	92	21.475	-1.2249999999999979
orthogroup_23	1	92	24.659523999999998	1.9595239999999983
orthogroup_231	1	92	24.659523999999998	1.9595239999999983
orthogroup_244	1	92	24.659523999999998	1.9595239999999983
orthogroup_300	1	92	21.475	-1.2249999999999979
orthogroup_329	2	91	22.7	0.0
orthogroup_334	1	92	21.475	-1.2249999999999979
orthogroup_36	1	92	24.659523999999998	1.9595239999999983
orthogroup_371	1	92	24.659523999999998	1.9595239999999983
orthogroup_540	1	92	24.659523999999998	1.9595239999999983
orthogroup_548	2	91	20.25	-2.4499999999999993
orthogroup_554	2	91	20.25	-2.4499999999999993
orthogroup_565	2	91	22.7	0.0
orthogroup_582	1	92	24.659523999999998	1.9595239999999983
orthogroup_598	1	92	21.475	-1.2249999999999979
orthogroup_610	1	92	21.475	-1.2249999999999979
orthogroup_626	2	91	22.7	0.0
orthogroup_65	1	92	24.659523999999998	1.9595239999999983
orthogroup_7	1	92	24.659523999999998	1.9595239999999983
orthogroup_758	1	92	24.659523999999998	1.9595239999999983
orthogroup_759	3	90	20.166666499999998	-2.5333335000000012
orthogroup_76	1	92	21.475	-1.2249999999999979
orthogroup_767	1	92	24.659523999999998	1.9595239999999983
orthogroup_772	1	92	24.659523999999998	1.9595239999999983
orthogroup_790	1	92	21.475	-1.2249999999999979
orthogroup_80	1	92	21.475	-1.2249999999999979
orthogroup_870	1	92	24.659523999999998	1.9595239999999983
orthogroup_900	1	92	21.475	-1.2249999999999979
orthogroup_934	1	92	24.659523999999998	1.9595239999999983
orthogroup_946	1	92	21.475	-1.2249999999999979
orthogroup_96	2	91	26.619048	3.919048
orthogroup_968	2	91	22.7	0.0
orthogroup_971	1	92	24.659523999999998	1.9595239999999983
orthogroup_985	1	92	21.475	-1.2249999999999979
orthogroup_995	1	92	24.659523999999998	1.9595239999999983
