permutation	qualifying_units	median_variance
1	75	967.0
2	74	979.2916666666667
3	75	992.3333333333334
4	79	967.0
5	78	908.25
6	74	1209.7
7	73	1198.6666666666667
8	78	872.6458333333333
9	79	661.0
10	77	1170.2
11	75	991.5833333333334
12	75	991.5833333333334
13	74	822.5041666666666
14	76	796.6708333333333
15	75	1493.3
16	76	672.3375
17	82	825.3375
18	80	1177.8916666666667
19	77	366.3333333333333
20	75	645.3333333333334
21	77	1057.7291666666667
22	73	1073.5833333333333
23	76	1071.625
24	77	967.0
25	74	1138.3916666666667
26	81	1157.3333333333333
27	73	683.675
28	78	1032.5833333333333
29	77	936.175
30	76	951.5875
31	77	1014.6666666666666
32	73	824.9166666666666
33	79	683.675
34	79	683.675
35	73	1249.2
36	72	979.2916666666667
37	78	796.6708333333333
38	77	1014.6666666666666
39	77	683.675
40	74	979.2916666666667
41	74	1184.4333333333334
42	80	1358.2916666666665
43	72	664.5041666666666
44	76	558.2678571428571
45	77	1170.2
46	74	1024.9895833333335
47	78	1011.975
48	78	664.5041666666666
49	79	920.375
50	77	542.3
51	77	683.675
52	71	920.375
53	76	979.2916666666667
54	74	956.28125
55	84	915.0208333333333
56	78	1048.7916666666665
57	77	824.9166666666666
58	73	991.5833333333334
59	76	976.4583333333334
60	79	683.675
61	75	991.5833333333334
62	79	683.675
63	74	943.6875
64	76	908.5416666666667
65	73	1170.2
66	81	646.3333333333334
67	77	1073.5833333333333
68	75	992.3333333333334
69	76	665.0041666666666
70	78	825.3375
71	78	979.2916666666667
72	75	1073.5833333333333
73	73	991.5833333333334
74	77	1073.5833333333333
75	77	967.0
76	75	745.3333333333334
77	82	766.8791666666666
78	77	991.5833333333334
79	81	683.675
80	76	1092.4333333333334
81	77	991.5833333333334
82	76	754.2958333333333
83	76	979.2916666666667
84	73	683.675
85	76	979.2916666666667
86	77	967.0
87	74	940.8541666666667
88	76	353.0
89	76	1009.2916666666667
90	78	1044.125
91	74	906.9583333333334
92	76	822.5041666666666
93	77	991.5833333333334
94	72	1032.5833333333333
95	72	1136.125
96	74	1121.8916666666667
97	73	920.375
98	75	991.5833333333334
99	76	809.925
100	74	895.9583333333333
101	78	990.8333333333333
102	75	682.5833333333334
103	69	1249.2
104	78	990.8333333333333
105	76	709.3375
106	76	908.25
107	71	1073.5833333333333
108	72	610.8333333333334
109	82	1071.625
110	72	1121.8916666666667
111	75	967.0
112	77	991.5833333333334
113	74	1307.25
114	75	1073.5833333333333
115	76	1223.9333333333334
116	76	610.8333333333334
117	78	672.3375
118	73	1274.3333333333333
119	79	824.9166666666666
120	78	796.6708333333333
121	74	940.8541666666667
122	71	1161.7291666666667
123	77	683.675
124	76	1209.7
125	78	979.2916666666667
126	74	1319.8333333333333
127	71	1073.5833333333333
128	78	672.3375
129	74	664.5041666666666
130	72	991.9166666666667
131	78	754.2958333333333
132	75	967.0
133	77	967.0
134	70	1032.5833333333333
135	79	824.9166666666666
136	77	967.0
137	79	920.375
138	71	1365.3333333333333
139	71	1031.7
140	75	822.3333333333334
141	75	1274.3333333333333
142	79	1014.6666666666666
143	75	991.5833333333334
144	73	1274.3333333333333
145	71	645.3333333333334
146	78	754.2958333333333
147	77	1249.2
148	76	754.2958333333333
149	77	645.3333333333334
150	79	936.175
151	79	967.0
152	78	1071.625
153	73	920.375
154	76	837.5
155	79	991.5833333333334
156	77	683.675
157	77	1073.5833333333333
158	75	824.9166666666666
159	71	991.5833333333334
160	73	961.3333333333334
161	81	961.3333333333334
162	76	1161.3916666666667
163	77	991.5833333333334
164	78	1024.65625
165	76	735.125
166	76	1032.9166666666665
167	70	1032.5833333333333
168	75	1170.2
169	77	920.375
170	79	683.675
171	79	1170.2
172	78	802.025
173	78	1065.65625
174	73	967.0
