permutation	median_variance_without_tmd1
1	102.083333
2	101.083333
3	27.0
4	75.25
5	89.583333
6	73.083333
7	233.583333
8	86.458333
9	236.833333
10	245.66666650000002
11	65.875
12	48.25
13	82.333333
14	173.958333
15	93.0
16	262.6666665
17	91.729167
18	259.958333
19	66.25
20	81.3166665
21	168.66666650000002
22	272.25
23	110.86458350000001
24	101.645833
25	75.5666665
26	64.458333
27	98.5625
28	132.7916665
29	59.6666665
30	142.75
31	159.375
32	119.875
33	558.025
34	124.0
35	61.0
36	70.625
37	229.333333
38	144.75
39	152.97916650000002
40	104.9
41	96.54166649999999
42	104.25
43	99.29166649999999
44	140.25
45	96.91666649999999
46	78.333333
47	66.958333
48	98.54166649999999
49	75.5625
50	134.5729165
51	183.083333
52	123.083333
53	346.75
54	128.3541665
55	80.208333
56	102.083333
57	134.333333
58	101.69791649999999
59	261.5
60	71.458333
61	102.083333
62	192.0
63	56.583333
64	88.416667
65	79.0
66	104.395833
67	86.583333
68	29.083333500000002
69	165.083333
70	336.7916665
71	202.16666650000002
72	220.33333299999998
73	108.0
74	58.583333
75	99.364583
76	224.333333
77	91.708333
78	72.958333
79	86.44791649999999
80	131.90625
81	168.25
82	70.583333
83	113.73958350000001
84	35.708333
85	114.333333
86	70.16666649999999
87	92.29166649999999
88	210.229167
89	138.708333
90	92.58333350000001
91	50.583333
92	264.2
93	118.54166649999999
94	145.458333
95	129.0416665
96	130.1625
97	182.583333
98	126.583333
99	55.083333
100	243.7
101	104.15625
102	80.79166649999999
103	126.19791649999999
104	114.29166649999999
105	216.75
106	138.16666650000002
107	89.54166649999999
108	147.0
109	204.083333
110	41.333333
111	529.0
112	161.25
113	102.583333
114	84.04166649999999
115	65.583333
116	192.33333349999998
117	140.16666650000002
118	73.416667
119	46.5
120	157.958333
121	243.0
122	76.04166649999999
123	120.583333
124	200.333333
125	144.083333
126	178.0
127	92.0166665
128	169.0
129	470.90625
130	202.229167
131	92.208333
132	97.0625
133	67.083333
134	188.833333
135	112.0
136	104.25
137	150.583333
138	155.208333
139	193.5416665
140	72.79166649999999
141	114.08333350000001
142	97.333333
143	133.04166650000002
144	65.75
145	50.583333
146	175.583333
147	87.625
148	44.083333
149	234.333333
150	198.229167
151	82.79166649999999
152	198.79166650000002
