orthogroup	tmd_index	modal_tmd_count	species_total	species_with_feature	presence_fraction	median_distance_start	mean_distance_start	sd_distance_start	variance_distance_start
orthogroup_100	1	12	10	0	0.000000				
orthogroup_100	2	12	10	0	0.000000				
orthogroup_100	3	12	10	1	0.100000	8.000000	8.000000		
orthogroup_100	4	12	10	0	0.000000				
orthogroup_100	5	12	10	0	0.000000				
orthogroup_100	6	12	10	0	0.000000				
orthogroup_100	7	12	10	1	0.100000	-1.000000	-1.000000		
orthogroup_100	8	12	10	0	0.000000				
orthogroup_100	9	12	10	0	0.000000				
orthogroup_100	10	12	10	0	0.000000				
orthogroup_100	11	12	10	0	0.000000				
orthogroup_100	12	12	10	3	0.300000	27.000000	25.666667	3.214550	10.333333
orthogroup_1013	1	4	9	1	0.111111	-3.000000	-3.000000		
orthogroup_1013	2	4	9	0	0.000000				
orthogroup_1013	3	4	9	0	0.000000				
orthogroup_1013	4	4	9	1	0.111111	-9.000000	-9.000000		
orthogroup_1014	1	6	9	1	0.111111	13.000000	13.000000		
orthogroup_1014	2	6	9	1	0.111111	-8.000000	-8.000000		
orthogroup_1014	3	6	9	1	0.111111	-3.000000	-3.000000		
orthogroup_1014	4	6	9	0	0.000000				
orthogroup_1014	5	6	9	2	0.222222	12.750000	12.750000	1.060660	1.125000
orthogroup_1014	6	6	9	3	0.333333	15.000000	15.333333	0.577350	0.333333
orthogroup_1024	1	7	9	0	0.000000				
orthogroup_1024	2	7	9	0	0.000000				
orthogroup_1024	3	7	9	0	0.000000				
orthogroup_1024	4	7	9	0	0.000000				
orthogroup_1024	5	7	9	0	0.000000				
orthogroup_1024	6	7	9	0	0.000000				
orthogroup_1024	7	7	9	4	0.444444	218.000000	204.750000	98.174589	9638.250000
orthogroup_1031	1	4	9	1	0.111111	24.000000	24.000000		
orthogroup_1031	2	4	9	0	0.000000				
orthogroup_1031	3	4	9	0	0.000000				
orthogroup_1031	4	4	9	0	0.000000				
orthogroup_1038	1	5	9	1	0.111111	-1.000000	-1.000000		
orthogroup_1038	2	5	9	0	0.000000				
orthogroup_1038	3	5	9	0	0.000000				
orthogroup_1038	4	5	9	3	0.333333	11.000000	11.000000	0.000000	0.000000
orthogroup_1038	5	5	9	1	0.111111	154.000000	154.000000		
orthogroup_104	1	10	8	0	0.000000				
orthogroup_104	2	10	8	1	0.125000	-0.500000	-0.500000		
orthogroup_104	3	10	8	1	0.125000	4.000000	4.000000		
orthogroup_104	4	10	8	0	0.000000				
orthogroup_104	5	10	8	0	0.000000				
orthogroup_104	6	10	8	0	0.000000				
orthogroup_104	7	10	8	0	0.000000				
orthogroup_104	8	10	8	1	0.125000	6.500000	6.500000		
orthogroup_104	9	10	8	0	0.000000				
orthogroup_104	10	10	8	0	0.000000				
orthogroup_1040	1	10	8	1	0.125000	1.000000	1.000000		
orthogroup_1040	2	10	8	2	0.250000	1.000000	1.000000	0.000000	0.000000
orthogroup_1040	3	10	8	0	0.000000				
orthogroup_1040	4	10	8	0	0.000000				
orthogroup_1040	5	10	8	0	0.000000				
orthogroup_1040	6	10	8	0	0.000000				
orthogroup_1040	7	10	8	2	0.250000	5.250000	5.250000	12.374369	153.125000
orthogroup_1040	8	10	8	0	0.000000				
orthogroup_1040	9	10	8	0	0.000000				
orthogroup_1040	10	10	8	0	0.000000				
orthogroup_1042	1	10	9	1	0.111111	1.000000	1.000000		
orthogroup_1042	2	10	9	0	0.000000				
orthogroup_1042	3	10	9	1	0.111111	1.000000	1.000000		
orthogroup_1042	4	10	9	0	0.000000				
orthogroup_1042	5	10	9	0	0.000000				
orthogroup_1042	6	10	9	0	0.000000				
orthogroup_1042	7	10	9	0	0.000000				
orthogroup_1042	8	10	9	1	0.111111	2.000000	2.000000		
orthogroup_1042	9	10	9	0	0.000000				
orthogroup_1042	10	10	9	0	0.000000				
orthogroup_1047	1	3	9	1	0.111111	-11.000000	-11.000000		
orthogroup_1047	2	3	9	0	0.000000				
orthogroup_1047	3	3	9	0	0.000000				
orthogroup_105	1	8	9	2	0.222222	-23.250000	-23.250000	21.566757	465.125000
orthogroup_105	2	8	9	1	0.111111	62.500000	62.500000		
orthogroup_105	3	8	9	0	0.000000				
orthogroup_105	4	8	9	0	0.000000				
orthogroup_105	5	8	9	1	0.111111	8.000000	8.000000		
orthogroup_105	6	8	9	1	0.111111	4.000000	4.000000		
orthogroup_105	7	8	9	0	0.000000				
orthogroup_105	8	8	9	5	0.555556	13.000000	12.600000	0.547723	0.300000
orthogroup_1050	1	6	8	1	0.125000	2.000000	2.000000		
orthogroup_1050	2	6	8	1	0.125000	-16.000000	-16.000000		
orthogroup_1050	3	6	8	0	0.000000				
orthogroup_1050	4	6	8	0	0.000000				
orthogroup_1050	5	6	8	1	0.125000	14.000000	14.000000		
orthogroup_1050	6	6	8	0	0.000000				
orthogroup_1051	1	10	8	0	0.000000				
orthogroup_1051	2	10	8	0	0.000000				
orthogroup_1051	3	10	8	0	0.000000				
orthogroup_1051	4	10	8	0	0.000000				
orthogroup_1051	5	10	8	0	0.000000				
orthogroup_1051	6	10	8	0	0.000000				
orthogroup_1051	7	10	8	0	0.000000				
orthogroup_1051	8	10	8	0	0.000000				
orthogroup_1051	9	10	8	0	0.000000				
orthogroup_1051	10	10	8	1	0.125000	301.000000	301.000000		
orthogroup_1059	1	12	8	0	0.000000				
orthogroup_1059	2	12	8	0	0.000000				
orthogroup_1059	3	12	8	0	0.000000				
orthogroup_1059	4	12	8	0	0.000000				
orthogroup_1059	5	12	8	0	0.000000				
orthogroup_1059	6	12	8	0	0.000000				
orthogroup_1059	7	12	8	0	0.000000				
orthogroup_1059	8	12	8	0	0.000000				
orthogroup_1059	9	12	8	0	0.000000				
orthogroup_1059	10	12	8	0	0.000000				
orthogroup_1059	11	12	8	0	0.000000				
orthogroup_1059	12	12	8	1	0.125000	23.000000	23.000000		
orthogroup_1074	1	8	9	2	0.222222	2.500000	2.500000	0.707107	0.500000
orthogroup_1074	2	8	9	0	0.000000				
orthogroup_1074	3	8	9	0	0.000000				
orthogroup_1074	4	8	9	0	0.000000				
orthogroup_1074	5	8	9	0	0.000000				
orthogroup_1074	6	8	9	1	0.111111	8.500000	8.500000		
orthogroup_1074	7	8	9	0	0.000000				
orthogroup_1074	8	8	9	1	0.111111	10.000000	10.000000		
orthogroup_110	1	3	9	0	0.000000				
orthogroup_110	2	3	9	0	0.000000				
orthogroup_110	3	3	9	0	0.000000				
orthogroup_1107	1	4	9	0	0.000000				
orthogroup_1107	2	4	9	0	0.000000				
orthogroup_1107	3	4	9	0	0.000000				
orthogroup_1107	4	4	9	1	0.111111	49.000000	49.000000		
orthogroup_1110	1	5	8	0	0.000000				
orthogroup_1110	2	5	8	0	0.000000				
orthogroup_1110	3	5	8	0	0.000000				
orthogroup_1110	4	5	8	0	0.000000				
orthogroup_1110	5	5	8	0	0.000000				
orthogroup_1124	1	4	9	1	0.111111	5.000000	5.000000		
orthogroup_1124	2	4	9	2	0.222222	-18.500000	-18.500000	30.405592	924.500000
orthogroup_1124	3	4	9	0	0.000000				
orthogroup_1124	4	4	9	1	0.111111	28.000000	28.000000		
orthogroup_1141	1	9	10	0	0.000000				
orthogroup_1141	2	9	10	0	0.000000				
orthogroup_1141	3	9	10	0	0.000000				
orthogroup_1141	4	9	10	0	0.000000				
orthogroup_1141	5	9	10	1	0.100000	5.000000	5.000000		
orthogroup_1141	6	9	10	0	0.000000				
orthogroup_1141	7	9	10	0	0.000000				
orthogroup_1141	8	9	10	1	0.100000	1.000000	1.000000		
orthogroup_1141	9	9	10	1	0.100000	13.000000	13.000000		
orthogroup_1154	1	10	9	1	0.111111	17.000000	17.000000		
orthogroup_1154	2	10	9	0	0.000000				
orthogroup_1154	3	10	9	3	0.333333	18.000000	10.333333	13.279056	176.333333
orthogroup_1154	4	10	9	0	0.000000				
orthogroup_1154	5	10	9	0	0.000000				
orthogroup_1154	6	10	9	1	0.111111	-9.000000	-9.000000		
orthogroup_1154	7	10	9	0	0.000000				
orthogroup_1154	8	10	9	0	0.000000				
orthogroup_1154	9	10	9	0	0.000000				
orthogroup_1154	10	10	9	0	0.000000				
orthogroup_1158	1	5	9	0	0.000000				
orthogroup_1158	2	5	9	0	0.000000				
orthogroup_1158	3	5	9	2	0.222222	8.000000	8.000000	11.313708	128.000000
orthogroup_1158	4	5	9	2	0.222222	12.000000	12.000000	0.000000	0.000000
orthogroup_1158	5	5	9	3	0.333333	404.000000	403.666667	0.577350	0.333333
orthogroup_1177	1	6	10	1	0.100000	-7.500000	-7.500000		
orthogroup_1177	2	6	10	0	0.000000				
orthogroup_1177	3	6	10	2	0.200000	6.000000	6.000000	12.727922	162.000000
orthogroup_1177	4	6	10	0	0.000000				
orthogroup_1177	5	6	10	0	0.000000				
orthogroup_1177	6	6	10	1	0.100000	17.000000	17.000000		
orthogroup_1181	1	6	10	2	0.200000	2.000000	2.000000	29.698485	882.000000
orthogroup_1181	2	6	10	1	0.100000	8.000000	8.000000		
orthogroup_1181	3	6	10	0	0.000000				
orthogroup_1181	4	6	10	0	0.000000				
orthogroup_1181	5	6	10	0	0.000000				
orthogroup_1181	6	6	10	1	0.100000	76.000000	76.000000		
orthogroup_119	1	3	8	1	0.125000	9.000000	9.000000		
orthogroup_119	2	3	8	4	0.500000	-6.000000	-7.125000	2.625992	6.895833
orthogroup_119	3	3	8	2	0.250000	41.000000	41.000000	52.325902	2738.000000
orthogroup_1208	1	5	9	3	0.333333	5.500000	17.500000	21.219095	450.250000
orthogroup_1208	2	5	9	0	0.000000				
orthogroup_1208	3	5	9	0	0.000000				
orthogroup_1208	4	5	9	0	0.000000				
orthogroup_1208	5	5	9	2	0.222222	3.000000	3.000000	65.053824	4232.000000
orthogroup_1225	1	3	9	0	0.000000				
orthogroup_1225	2	3	9	0	0.000000				
orthogroup_1225	3	3	9	0	0.000000				
orthogroup_1243	1	12	8	0	0.000000				
orthogroup_1243	2	12	8	0	0.000000				
orthogroup_1243	3	12	8	0	0.000000				
orthogroup_1243	4	12	8	0	0.000000				
orthogroup_1243	5	12	8	0	0.000000				
orthogroup_1243	6	12	8	0	0.000000				
orthogroup_1243	7	12	8	2	0.250000	-35.500000	-35.500000	0.707107	0.500000
orthogroup_1243	8	12	8	0	0.000000				
orthogroup_1243	9	12	8	1	0.125000	15.000000	15.000000		
orthogroup_1243	10	12	8	0	0.000000				
orthogroup_1243	11	12	8	0	0.000000				
orthogroup_1243	12	12	8	2	0.250000	47.000000	47.000000	28.284271	800.000000
orthogroup_1267	1	10	9	0	0.000000				
orthogroup_1267	2	10	9	0	0.000000				
orthogroup_1267	3	10	9	0	0.000000				
orthogroup_1267	4	10	9	0	0.000000				
orthogroup_1267	5	10	9	0	0.000000				
orthogroup_1267	6	10	9	0	0.000000				
orthogroup_1267	7	10	9	0	0.000000				
orthogroup_1267	8	10	9	2	0.222222	8.000000	8.000000	7.071068	50.000000
orthogroup_1267	9	10	9	3	0.333333	5.000000	3.666667	2.309401	5.333333
orthogroup_1267	10	10	9	0	0.000000				
orthogroup_1270	1	7	9	1	0.111111	10.000000	10.000000		
orthogroup_1270	2	7	9	0	0.000000				
orthogroup_1270	3	7	9	0	0.000000				
orthogroup_1270	4	7	9	0	0.000000				
orthogroup_1270	5	7	9	0	0.000000				
orthogroup_1270	6	7	9	0	0.000000				
orthogroup_1270	7	7	9	2	0.222222	17.500000	17.500000	0.707107	0.500000
orthogroup_1271	1	14	10	6	0.600000	1.000000	1.666667	1.632993	2.666667
orthogroup_1271	2	14	10	0	0.000000				
orthogroup_1271	3	14	10	0	0.000000				
orthogroup_1271	4	14	10	0	0.000000				
orthogroup_1271	5	14	10	1	0.100000	0.000000	0.000000		
orthogroup_1271	6	14	10	1	0.100000	18.000000	18.000000		
orthogroup_1271	7	14	10	0	0.000000				
orthogroup_1271	8	14	10	0	0.000000				
orthogroup_1271	9	14	10	0	0.000000				
orthogroup_1271	10	14	10	0	0.000000				
orthogroup_1271	11	14	10	0	0.000000				
orthogroup_1271	12	14	10	0	0.000000				
orthogroup_1271	13	14	10	0	0.000000				
orthogroup_1271	14	14	10	4	0.400000	41.750000	41.250000	1.190238	1.416667
orthogroup_1294	1	4	8	0	0.000000				
orthogroup_1294	2	4	8	1	0.125000	67.000000	67.000000		
orthogroup_1294	3	4	8	1	0.125000	-40.000000	-40.000000		
orthogroup_1294	4	4	8	0	0.000000				
orthogroup_1307	1	12	8	0	0.000000				
orthogroup_1307	2	12	8	0	0.000000				
orthogroup_1307	3	12	8	0	0.000000				
orthogroup_1307	4	12	8	0	0.000000				
orthogroup_1307	5	12	8	0	0.000000				
orthogroup_1307	6	12	8	0	0.000000				
orthogroup_1307	7	12	8	1	0.125000	11.000000	11.000000		
orthogroup_1307	8	12	8	1	0.125000	-1.000000	-1.000000		
orthogroup_1307	9	12	8	0	0.000000				
orthogroup_1307	10	12	8	0	0.000000				
orthogroup_1307	11	12	8	1	0.125000	16.000000	16.000000		
orthogroup_1307	12	12	8	0	0.000000				
orthogroup_1309	1	12	8	0	0.000000				
orthogroup_1309	2	12	8	0	0.000000				
orthogroup_1309	3	12	8	0	0.000000				
orthogroup_1309	4	12	8	0	0.000000				
orthogroup_1309	5	12	8	2	0.250000	13.000000	13.000000	0.000000	0.000000
orthogroup_1309	6	12	8	0	0.000000				
orthogroup_1309	7	12	8	2	0.250000	-0.250000	-0.250000	8.131728	66.125000
orthogroup_1309	8	12	8	0	0.000000				
orthogroup_1309	9	12	8	0	0.000000				
orthogroup_1309	10	12	8	0	0.000000				
orthogroup_1309	11	12	8	0	0.000000				
orthogroup_1309	12	12	8	0	0.000000				
orthogroup_1311	1	3	9	0	0.000000				
orthogroup_1311	2	3	9	0	0.000000				
orthogroup_1311	3	3	9	0	0.000000				
orthogroup_1313	1	5	9	1	0.111111	11.000000	11.000000		
orthogroup_1313	2	5	9	0	0.000000				
orthogroup_1313	3	5	9	0	0.000000				
orthogroup_1313	4	5	9	0	0.000000				
orthogroup_1313	5	5	9	0	0.000000				
orthogroup_1328	1	6	10	2	0.200000	-22.500000	-22.500000	0.707107	0.500000
orthogroup_1328	2	6	10	1	0.100000	4.000000	4.000000		
orthogroup_1328	3	6	10	0	0.000000				
orthogroup_1328	4	6	10	0	0.000000				
orthogroup_1328	5	6	10	1	0.100000	14.000000	14.000000		
orthogroup_1328	6	6	10	1	0.100000	9.000000	9.000000		
orthogroup_1335	1	11	9	5	0.555556	-93.000000	-191.400000	155.017096	24030.300000
orthogroup_1335	2	11	9	0	0.000000				
orthogroup_1335	3	11	9	0	0.000000				
orthogroup_1335	4	11	9	0	0.000000				
orthogroup_1335	5	11	9	2	0.222222	-1.000000	-1.000000	0.000000	0.000000
orthogroup_1335	6	11	9	0	0.000000				
orthogroup_1335	7	11	9	0	0.000000				
orthogroup_1335	8	11	9	0	0.000000				
orthogroup_1335	9	11	9	0	0.000000				
orthogroup_1335	10	11	9	0	0.000000				
orthogroup_1335	11	11	9	2	0.222222	100.000000	100.000000	130.107648	16928.000000
orthogroup_136	1	5	9	2	0.222222	-20.750000	-20.750000	22.980970	528.125000
orthogroup_136	2	5	9	0	0.000000				
orthogroup_136	3	5	9	0	0.000000				
orthogroup_136	4	5	9	0	0.000000				
orthogroup_136	5	5	9	0	0.000000				
orthogroup_1362	1	6	9	0	0.000000				
orthogroup_1362	2	6	9	1	0.111111	0.000000	0.000000		
orthogroup_1362	3	6	9	2	0.222222	5.000000	5.000000	1.414214	2.000000
orthogroup_1362	4	6	9	0	0.000000				
orthogroup_1362	5	6	9	1	0.111111	19.000000	19.000000		
orthogroup_1362	6	6	9	0	0.000000				
orthogroup_1363	1	6	9	3	0.333333	2.000000	9.666667	16.862186	284.333333
orthogroup_1363	2	6	9	1	0.111111	11.000000	11.000000		
orthogroup_1363	3	6	9	2	0.222222	12.500000	12.500000	6.363961	40.500000
orthogroup_1363	4	6	9	0	0.000000				
orthogroup_1363	5	6	9	0	0.000000				
orthogroup_1363	6	6	9	2	0.222222	21.000000	21.000000	8.485281	72.000000
orthogroup_1365	1	14	9	6	0.666667	-3.500000	-0.083333	8.481843	71.941667
orthogroup_1365	2	14	9	1	0.111111	9.000000	9.000000		
orthogroup_1365	3	14	9	0	0.000000				
orthogroup_1365	4	14	9	0	0.000000				
orthogroup_1365	5	14	9	0	0.000000				
orthogroup_1365	6	14	9	0	0.000000				
orthogroup_1365	7	14	9	0	0.000000				
orthogroup_1365	8	14	9	0	0.000000				
orthogroup_1365	9	14	9	0	0.000000				
orthogroup_1365	10	14	9	0	0.000000				
orthogroup_1365	11	14	9	0	0.000000				
orthogroup_1365	12	14	9	0	0.000000				
orthogroup_1365	13	14	9	0	0.000000				
orthogroup_1365	14	14	9	1	0.111111	21.000000	21.000000		
orthogroup_1379	1	10	10	1	0.100000	24.000000	24.000000		
orthogroup_1379	2	10	10	0	0.000000				
orthogroup_1379	3	10	10	0	0.000000				
orthogroup_1379	4	10	10	0	0.000000				
orthogroup_1379	5	10	10	0	0.000000				
orthogroup_1379	6	10	10	3	0.300000	5.500000	3.166667	4.481443	20.083333
orthogroup_1379	7	10	10	0	0.000000				
orthogroup_1379	8	10	10	3	0.300000	33.500000	24.833333	20.894577	436.583333
orthogroup_1379	9	10	10	0	0.000000				
orthogroup_1379	10	10	10	2	0.200000	34.000000	34.000000	1.414214	2.000000
orthogroup_1380	1	12	8	1	0.125000	-2.000000	-2.000000		
orthogroup_1380	2	12	8	0	0.000000				
orthogroup_1380	3	12	8	0	0.000000				
orthogroup_1380	4	12	8	0	0.000000				
orthogroup_1380	5	12	8	0	0.000000				
orthogroup_1380	6	12	8	0	0.000000				
orthogroup_1380	7	12	8	0	0.000000				
orthogroup_1380	8	12	8	0	0.000000				
orthogroup_1380	9	12	8	0	0.000000				
orthogroup_1380	10	12	8	0	0.000000				
orthogroup_1380	11	12	8	0	0.000000				
orthogroup_1380	12	12	8	0	0.000000				
orthogroup_1384	1	6	10	2	0.200000	5.000000	5.000000	12.727922	162.000000
orthogroup_1384	2	6	10	0	0.000000				
orthogroup_1384	3	6	10	0	0.000000				
orthogroup_1384	4	6	10	0	0.000000				
orthogroup_1384	5	6	10	0	0.000000				
orthogroup_1384	6	6	10	1	0.100000	28.000000	28.000000		
orthogroup_139	1	8	9	3	0.333333	-264.000000	-237.500000	55.242647	3051.750000
orthogroup_139	2	8	9	0	0.000000				
orthogroup_139	3	8	9	0	0.000000				
orthogroup_139	4	8	9	0	0.000000				
orthogroup_139	5	8	9	0	0.000000				
orthogroup_139	6	8	9	0	0.000000				
orthogroup_139	7	8	9	0	0.000000				
orthogroup_139	8	8	9	0	0.000000				
orthogroup_14	1	4	8	2	0.250000	-8.500000	-8.500000	4.949747	24.500000
orthogroup_14	2	4	8	0	0.000000				
orthogroup_14	3	4	8	3	0.375000	4.000000	5.333333	2.309401	5.333333
orthogroup_14	4	4	8	0	0.000000				
orthogroup_140	1	6	10	0	0.000000				
orthogroup_140	2	6	10	0	0.000000				
orthogroup_140	3	6	10	0	0.000000				
orthogroup_140	4	6	10	0	0.000000				
orthogroup_140	5	6	10	0	0.000000				
orthogroup_140	6	6	10	1	0.100000	21.000000	21.000000		
orthogroup_1400	1	7	8	0	0.000000				
orthogroup_1400	2	7	8	0	0.000000				
orthogroup_1400	3	7	8	2	0.250000	3.000000	3.000000	0.000000	0.000000
orthogroup_1400	4	7	8	1	0.125000	12.000000	12.000000		
orthogroup_1400	5	7	8	0	0.000000				
orthogroup_1400	6	7	8	0	0.000000				
orthogroup_1400	7	7	8	1	0.125000	39.000000	39.000000		
orthogroup_1406	1	6	9	4	0.444444	-11.000000	-3.250000	16.173538	261.583333
orthogroup_1406	2	6	9	0	0.000000				
orthogroup_1406	3	6	9	3	0.333333	-32.500000	-16.000000	28.578838	816.750000
orthogroup_1406	4	6	9	0	0.000000				
orthogroup_1406	5	6	9	0	0.000000				
orthogroup_1406	6	6	9	4	0.444444	98.000000	101.250000	41.604287	1730.916667
orthogroup_1408	1	8	9	1	0.111111	8.000000	8.000000		
orthogroup_1408	2	8	9	2	0.222222	20.750000	20.750000	0.353553	0.125000
orthogroup_1408	3	8	9	0	0.000000				
orthogroup_1408	4	8	9	2	0.222222	20.000000	20.000000	15.556349	242.000000
orthogroup_1408	5	8	9	1	0.111111	26.000000	26.000000		
orthogroup_1408	6	8	9	0	0.000000				
orthogroup_1408	7	8	9	0	0.000000				
orthogroup_1408	8	8	9	1	0.111111	38.000000	38.000000		
orthogroup_141	1	6	10	1	0.100000	-64.500000	-64.500000		
orthogroup_141	2	6	10	0	0.000000				
orthogroup_141	3	6	10	2	0.200000	5.500000	5.500000	0.707107	0.500000
orthogroup_141	4	6	10	0	0.000000				
orthogroup_141	5	6	10	0	0.000000				
orthogroup_141	6	6	10	2	0.200000	6.000000	6.000000	1.414214	2.000000
orthogroup_1410	1	4	9	2	0.222222	-11.000000	-11.000000	0.000000	0.000000
orthogroup_1410	2	4	9	0	0.000000				
orthogroup_1410	3	4	9	0	0.000000				
orthogroup_1410	4	4	9	2	0.222222	19.500000	19.500000	14.849242	220.500000
orthogroup_1412	1	6	9	1	0.111111	35.500000	35.500000		
orthogroup_1412	2	6	9	1	0.111111	-16.000000	-16.000000		
orthogroup_1412	3	6	9	0	0.000000				
orthogroup_1412	4	6	9	0	0.000000				
orthogroup_1412	5	6	9	1	0.111111	26.000000	26.000000		
orthogroup_1412	6	6	9	0	0.000000				
orthogroup_1435	1	6	8	4	0.500000	12.000000	11.750000	0.500000	0.250000
orthogroup_1435	2	6	8	0	0.000000				
orthogroup_1435	3	6	8	0	0.000000				
orthogroup_1435	4	6	8	0	0.000000				
orthogroup_1435	5	6	8	0	0.000000				
orthogroup_1435	6	6	8	2	0.250000	31.000000	31.000000	8.485281	72.000000
orthogroup_1439	1	14	9	0	0.000000				
orthogroup_1439	2	14	9	0	0.000000				
orthogroup_1439	3	14	9	0	0.000000				
orthogroup_1439	4	14	9	0	0.000000				
orthogroup_1439	5	14	9	0	0.000000				
orthogroup_1439	6	14	9	0	0.000000				
orthogroup_1439	7	14	9	0	0.000000				
orthogroup_1439	8	14	9	0	0.000000				
orthogroup_1439	9	14	9	0	0.000000				
orthogroup_1439	10	14	9	0	0.000000				
orthogroup_1439	11	14	9	0	0.000000				
orthogroup_1439	12	14	9	0	0.000000				
orthogroup_1439	13	14	9	0	0.000000				
orthogroup_1439	14	14	9	0	0.000000				
orthogroup_1443	1	6	8	1	0.125000	29.000000	29.000000		
orthogroup_1443	2	6	8	1	0.125000	-4.000000	-4.000000		
orthogroup_1443	3	6	8	0	0.000000				
orthogroup_1443	4	6	8	0	0.000000				
orthogroup_1443	5	6	8	0	0.000000				
orthogroup_1443	6	6	8	1	0.125000	24.000000	24.000000		
orthogroup_1444	1	4	9	2	0.222222	3.000000	3.000000	1.414214	2.000000
orthogroup_1444	2	4	9	0	0.000000				
orthogroup_1444	3	4	9	0	0.000000				
orthogroup_1444	4	4	9	0	0.000000				
orthogroup_1445	1	6	9	0	0.000000				
orthogroup_1445	2	6	9	0	0.000000				
orthogroup_1445	3	6	9	0	0.000000				
orthogroup_1445	4	6	9	0	0.000000				
orthogroup_1445	5	6	9	3	0.333333	7.000000	7.333333	1.527525	2.333333
orthogroup_1445	6	6	9	0	0.000000				
orthogroup_145	1	6	8	0	0.000000				
orthogroup_145	2	6	8	2	0.250000	12.000000	12.000000	0.000000	0.000000
orthogroup_145	3	6	8	2	0.250000	16.500000	16.500000	12.020815	144.500000
orthogroup_145	4	6	8	0	0.000000				
orthogroup_145	5	6	8	0	0.000000				
orthogroup_145	6	6	8	0	0.000000				
orthogroup_1453	1	11	8	4	0.500000	-230.000000	-228.750000	203.183620	41283.583333
orthogroup_1453	2	11	8	1	0.125000	-12.000000	-12.000000		
orthogroup_1453	3	11	8	0	0.000000				
orthogroup_1453	4	11	8	0	0.000000				
orthogroup_1453	5	11	8	2	0.250000	4.500000	4.500000	13.435029	180.500000
orthogroup_1453	6	11	8	0	0.000000				
orthogroup_1453	7	11	8	0	0.000000				
orthogroup_1453	8	11	8	0	0.000000				
orthogroup_1453	9	11	8	1	0.125000	0.000000	0.000000		
orthogroup_1453	10	11	8	0	0.000000				
