membrane_orthogroup	pseudo_tmd_index	species_total	species_with_feature	presence_fraction	median_distance_start	mean_distance_start	sd_distance_start	variance_distance_start
orthogroup_100	1	10	2	0.200000	-10.250000	-10.250000	1.060660	1.125000
orthogroup_100	2	10	0	0.000000				
orthogroup_100	3	10	0	0.000000				
orthogroup_100	4	10	2	0.200000	-13.000000	-13.000000	7.071068	50.000000
orthogroup_100	5	10	0	0.000000				
orthogroup_100	6	10	0	0.000000				
orthogroup_100	7	10	0	0.000000				
orthogroup_100	8	10	1	0.100000	1.000000	1.000000		
orthogroup_100	9	10	0	0.000000				
orthogroup_100	10	10	2	0.200000	18.250000	18.250000	0.353553	0.125000
orthogroup_100	11	10	0	0.000000				
orthogroup_100	12	10	0	0.000000				
orthogroup_1013	1	9	1	0.111111	-6.000000	-6.000000		
orthogroup_1013	2	9	0	0.000000				
orthogroup_1013	3	9	0	0.000000				
orthogroup_1013	4	9	0	0.000000				
orthogroup_1014	1	9	3	0.333333	4.000000	-1.333333	14.742230	217.333333
orthogroup_1014	2	9	0	0.000000				
orthogroup_1014	3	9	0	0.000000				
orthogroup_1014	4	9	1	0.111111	-4.500000	-4.500000		
orthogroup_1014	5	9	0	0.000000				
orthogroup_1014	6	9	0	0.000000				
orthogroup_1024	1	9	0	0.000000				
orthogroup_1024	2	9	0	0.000000				
orthogroup_1024	3	9	0	0.000000				
orthogroup_1024	4	9	0	0.000000				
orthogroup_1024	5	9	0	0.000000				
orthogroup_1024	6	9	0	0.000000				
orthogroup_1024	7	9	0	0.000000				
orthogroup_1031	1	9	0	0.000000				
orthogroup_1031	2	9	0	0.000000				
orthogroup_1031	3	9	0	0.000000				
orthogroup_1031	4	9	0	0.000000				
orthogroup_1038	1	9	1	0.111111	8.000000	8.000000		
orthogroup_1038	2	9	0	0.000000				
orthogroup_1038	3	9	0	0.000000				
orthogroup_1038	4	9	0	0.000000				
orthogroup_1038	5	9	2	0.222222	181.000000	181.000000	26.870058	722.000000
orthogroup_104	1	8	0	0.000000				
orthogroup_104	2	8	0	0.000000				
orthogroup_104	3	8	0	0.000000				
orthogroup_104	4	8	0	0.000000				
orthogroup_104	5	8	0	0.000000				
orthogroup_104	6	8	0	0.000000				
orthogroup_104	7	8	0	0.000000				
orthogroup_104	8	8	0	0.000000				
orthogroup_104	9	8	0	0.000000				
orthogroup_104	10	8	0	0.000000				
orthogroup_1040	1	8	0	0.000000				
orthogroup_1040	2	8	0	0.000000				
orthogroup_1040	3	8	0	0.000000				
orthogroup_1040	4	8	0	0.000000				
orthogroup_1040	5	8	1	0.125000	41.000000	41.000000		
orthogroup_1040	6	8	1	0.125000	11.000000	11.000000		
orthogroup_1040	7	8	0	0.000000				
orthogroup_1040	8	8	0	0.000000				
orthogroup_1040	9	8	1	0.125000	24.000000	24.000000		
orthogroup_1040	10	8	0	0.000000				
orthogroup_1042	1	9	0	0.000000				
orthogroup_1042	2	9	2	0.222222	-2.500000	-2.500000	10.606602	112.500000
orthogroup_1042	3	9	1	0.111111	-2.000000	-2.000000		
orthogroup_1042	4	9	0	0.000000				
orthogroup_1042	5	9	0	0.000000				
orthogroup_1042	6	9	0	0.000000				
orthogroup_1042	7	9	0	0.000000				
orthogroup_1042	8	9	2	0.222222	-11.500000	-11.500000	0.000000	0.000000
orthogroup_1042	9	9	0	0.000000				
orthogroup_1042	10	9	1	0.111111	-4.000000	-4.000000		
orthogroup_1047	1	9	0	0.000000				
orthogroup_1047	2	9	0	0.000000				
orthogroup_1047	3	9	1	0.111111	136.000000	136.000000		
orthogroup_105	1	9	0	0.000000				
orthogroup_105	2	9	1	0.111111	0.000000	0.000000		
orthogroup_105	3	9	1	0.111111	-58.000000	-58.000000		
orthogroup_105	4	9	0	0.000000				
orthogroup_105	5	9	0	0.000000				
orthogroup_105	6	9	0	0.000000				
orthogroup_105	7	9	0	0.000000				
orthogroup_105	8	9	0	0.000000				
orthogroup_1050	1	9	3	0.333333	117.000000	89.666667	77.693844	6036.333333
orthogroup_1050	2	9	1	0.111111	-40.000000	-40.000000		
orthogroup_1050	3	9	0	0.000000				
orthogroup_1050	4	9	0	0.000000				
orthogroup_1050	5	9	1	0.111111	-1.000000	-1.000000		
orthogroup_1050	6	9	0	0.000000				
orthogroup_1059	1	8	0	0.000000				
orthogroup_1059	2	8	0	0.000000				
orthogroup_1059	3	8	1	0.125000	0.000000	0.000000		
orthogroup_1059	4	8	0	0.000000				
orthogroup_1059	5	8	0	0.000000				
orthogroup_1059	6	8	0	0.000000				
orthogroup_1059	7	8	0	0.000000				
orthogroup_1059	8	8	0	0.000000				
orthogroup_1059	9	8	0	0.000000				
orthogroup_1059	10	8	0	0.000000				
orthogroup_1059	11	8	0	0.000000				
orthogroup_1059	12	8	0	0.000000				
orthogroup_1074	1	9	0	0.000000				
orthogroup_1074	2	9	0	0.000000				
orthogroup_1074	3	9	1	0.111111	-9.500000	-9.500000		
orthogroup_1074	4	9	0	0.000000				
orthogroup_1074	5	9	0	0.000000				
orthogroup_1074	6	9	0	0.000000				
orthogroup_1074	7	9	0	0.000000				
orthogroup_1074	8	9	0	0.000000				
orthogroup_110	1	9	0	0.000000				
orthogroup_110	2	9	0	0.000000				
orthogroup_110	3	9	0	0.000000				
orthogroup_1107	1	9	1	0.111111	-9.000000	-9.000000		
orthogroup_1107	2	9	0	0.000000				
orthogroup_1107	3	9	0	0.000000				
orthogroup_1107	4	9	0	0.000000				
orthogroup_1110	1	8	1	0.125000	2.000000	2.000000		
orthogroup_1110	2	8	1	0.125000	8.000000	8.000000		
orthogroup_1110	3	8	1	0.125000	5.000000	5.000000		
orthogroup_1110	4	8	0	0.000000				
orthogroup_1110	5	8	2	0.250000	6.000000	6.000000	0.000000	0.000000
orthogroup_1124	1	9	1	0.111111	80.000000	80.000000		
orthogroup_1124	2	9	0	0.000000				
orthogroup_1124	3	9	0	0.000000				
orthogroup_1124	4	9	1	0.111111	-17.000000	-17.000000		
orthogroup_1141	1	10	0	0.000000				
orthogroup_1141	2	10	0	0.000000				
orthogroup_1141	3	10	0	0.000000				
orthogroup_1141	4	10	1	0.100000	5.000000	5.000000		
orthogroup_1141	5	10	0	0.000000				
orthogroup_1141	6	10	0	0.000000				
orthogroup_1141	7	10	0	0.000000				
orthogroup_1141	8	10	0	0.000000				
orthogroup_1141	9	10	0	0.000000				
orthogroup_1154	1	9	0	0.000000				
orthogroup_1154	2	9	0	0.000000				
orthogroup_1154	3	9	0	0.000000				
orthogroup_1154	4	9	0	0.000000				
orthogroup_1154	5	9	0	0.000000				
orthogroup_1154	6	9	0	0.000000				
orthogroup_1154	7	9	0	0.000000				
orthogroup_1154	8	9	0	0.000000				
orthogroup_1154	9	9	0	0.000000				
orthogroup_1154	10	9	0	0.000000				
orthogroup_1158	1	9	2	0.222222	-6.500000	-6.500000	13.435029	180.500000
orthogroup_1158	2	9	1	0.111111	13.500000	13.500000		
orthogroup_1158	3	9	0	0.000000				
orthogroup_1158	4	9	1	0.111111	4.000000	4.000000		
orthogroup_1158	5	9	7	0.777778	22.000000	172.000000	203.378137	41362.666667
orthogroup_1177	1	10	1	0.100000	6.000000	6.000000		
orthogroup_1177	2	10	0	0.000000				
orthogroup_1177	3	10	1	0.100000	-4.000000	-4.000000		
orthogroup_1177	4	10	2	0.200000	8.000000	8.000000	5.656854	32.000000
orthogroup_1177	5	10	2	0.200000	-1.000000	-1.000000	5.656854	32.000000
orthogroup_1177	6	10	2	0.200000	6.000000	6.000000	7.071068	50.000000
orthogroup_1181	1	10	3	0.300000	-22.000000	-12.000000	17.320508	300.000000
orthogroup_1181	2	10	0	0.000000				
orthogroup_1181	3	10	0	0.000000				
orthogroup_1181	4	10	1	0.100000	21.500000	21.500000		
orthogroup_1181	5	10	1	0.100000	-34.000000	-34.000000		
orthogroup_1181	6	10	9	0.900000	166.000000	159.777778	61.434981	3774.256944
orthogroup_119	1	8	1	0.125000	20.000000	20.000000		
orthogroup_119	2	8	0	0.000000				
orthogroup_119	3	8	1	0.125000	-3.000000	-3.000000		
orthogroup_1208	1	9	0	0.000000				
orthogroup_1208	2	9	0	0.000000				
orthogroup_1208	3	9	0	0.000000				
orthogroup_1208	4	9	0	0.000000				
orthogroup_1208	5	9	0	0.000000				
orthogroup_1225	1	9	1	0.111111	-7.500000	-7.500000		
orthogroup_1225	2	9	0	0.000000				
orthogroup_1225	3	9	1	0.111111	51.000000	51.000000		
orthogroup_1267	1	9	0	0.000000				
orthogroup_1267	2	9	1	0.111111	8.000000	8.000000		
orthogroup_1267	3	9	0	0.000000				
orthogroup_1267	4	9	0	0.000000				
orthogroup_1267	5	9	0	0.000000				
orthogroup_1267	6	9	0	0.000000				
orthogroup_1267	7	9	0	0.000000				
orthogroup_1267	8	9	0	0.000000				
orthogroup_1267	9	9	0	0.000000				
orthogroup_1267	10	9	1	0.111111	10.000000	10.000000		
orthogroup_1270	1	9	2	0.222222	-17.000000	-17.000000	0.000000	0.000000
orthogroup_1270	2	9	0	0.000000				
orthogroup_1270	3	9	0	0.000000				
orthogroup_1270	4	9	0	0.000000				
orthogroup_1270	5	9	0	0.000000				
orthogroup_1270	6	9	3	0.333333	-10.000000	-10.166667	0.763763	0.583333
orthogroup_1270	7	9	1	0.111111	-9.000000	-9.000000		
orthogroup_1271	1	10	0	0.000000				
orthogroup_1271	2	10	1	0.100000	4.000000	4.000000		
orthogroup_1271	3	10	0	0.000000				
orthogroup_1271	4	10	0	0.000000				
orthogroup_1271	5	10	0	0.000000				
orthogroup_1271	6	10	0	0.000000				
orthogroup_1271	7	10	1	0.100000	2.000000	2.000000		
orthogroup_1271	8	10	0	0.000000				
orthogroup_1271	9	10	1	0.100000	-8.000000	-8.000000		
