membrane_orthogroup	soluble_orthogroup	species_coverage	membrane_median_length	soluble_median_length	absolute_length_difference	relative_length_difference	match_rank
orthogroup_100	orthogroup_1495	10	391.5	392.0	0.5	0.001277	1
orthogroup_1013	orthogroup_1523	9	176.0	176.0	0.0	0.0	1
orthogroup_1014	orthogroup_1395	9	247.0	247.0	0.0	0.0	1
orthogroup_1024	orthogroup_1351	9	527.0	530.0	3.0	0.005693	2
orthogroup_1031	orthogroup_1555	9	131.0	132.0	1.0	0.007634	4
orthogroup_1038	orthogroup_172	9	563.0	565.0	2.0	0.003552	1
orthogroup_104	orthogroup_368	8	385.0	382.0	3.0	0.007792	1
orthogroup_1040	orthogroup_1314	8	553.0	550.0	3.0	0.005425	1
orthogroup_1042	orthogroup_1459	9	299.0	299.0	0.0	0.0	1
orthogroup_1047	orthogroup_462	9	286.0	286.0	0.0	0.0	1
orthogroup_105	orthogroup_468	9	473.0	472.0	1.0	0.002114	1
orthogroup_1050	orthogroup_1	9	548.0	551.0	3.0	0.005474	4
orthogroup_1059	orthogroup_1298	8	402.0	417.0	15.0	0.037313	4
orthogroup_1074	orthogroup_1656	9	263.0	263.0	0.0	0.0	1
orthogroup_110	orthogroup_173	9	115.0	115.0	0.0	0.0	1
orthogroup_1107	orthogroup_933	9	132.0	133.0	1.0	0.007576	5
orthogroup_1110	orthogroup_1016	8	238.0	242.0	4.0	0.016807	2
orthogroup_1124	orthogroup_1209	9	399.0	398.0	1.0	0.002506	1
orthogroup_1141	orthogroup_635	10	379.0	378.5	0.5	0.001319	1
orthogroup_1154	orthogroup_263	9	352.0	352.0	0.0	0.0	1
orthogroup_1158	orthogroup_1518	9	586.0	586.0	0.0	0.0	1
orthogroup_1177	orthogroup_254	10	312.5	313.0	0.5	0.0016	1
orthogroup_1181	orthogroup_814	10	582.0	581.0	1.0	0.001718	1
orthogroup_119	orthogroup_251	8	152.0	157.0	5.0	0.032895	2
orthogroup_1208	orthogroup_1534	9	711.0	712.0	1.0	0.001406	1
orthogroup_1225	orthogroup_1607	9	151.0	151.0	0.0	0.0	1
orthogroup_1267	orthogroup_1232	9	370.0	369.0	1.0	0.002703	2
orthogroup_1270	orthogroup_1068	9	234.0	234.0	0.0	0.0	1
orthogroup_1271	orthogroup_143	10	509.0	513.0	4.0	0.007859	1
orthogroup_1294	orthogroup_73	8	295.0	288.0	7.0	0.023729	1
orthogroup_1309	orthogroup_78	8	406.0	398.0	8.0	0.019704	1
orthogroup_1311	orthogroup_873	9	230.0	230.0	0.0	0.0	2
orthogroup_1313	orthogroup_1089	9	201.0	201.0	0.0	0.0	1
orthogroup_1328	orthogroup_811	10	296.0	297.0	1.0	0.003378	2
orthogroup_1335	orthogroup_187	9	1108.0	1123.0	15.0	0.013538	1
orthogroup_136	orthogroup_357	9	260.0	260.0	0.0	0.0	1
orthogroup_1362	orthogroup_532	9	231.0	231.0	0.0	0.0	1
orthogroup_1363	orthogroup_1075	9	237.0	237.0	0.0	0.0	1
orthogroup_1365	orthogroup_1028	10	485.0	490.0	5.0	0.010309	1
orthogroup_1379	orthogroup_180	10	443.0	445.0	2.0	0.004515	1
orthogroup_1380	orthogroup_313	8	393.0	395.0	2.0	0.005089	1
orthogroup_1384	orthogroup_84	10	319.0	319.0	0.0	0.0	1
orthogroup_139	orthogroup_805	9	772.0	761.0	11.0	0.014249	1
orthogroup_14	orthogroup_349	8	188.0	192.0	4.0	0.021277	2
orthogroup_140	orthogroup_1600	10	295.0	292.0	3.0	0.010169	3
