orthogroup	modal_tmd_count	start_qualifying_units	end_qualifying_units	total_qualifying_units	max_species_with_feature	best_variance	ranking_score
orthogroup_1554	6	2	2	4	4	0.0	-16.0
orthogroup_540	6	1	1	2	6	0.075	-15.925
orthogroup_968	4	2	2	4	4	0.895833	-15.104167
orthogroup_105	8	1	1	2	5	0.3	-13.7
orthogroup_1435	6	1	1	2	4	0.25	-11.75
orthogroup_1804	8	1	1	2	4	0.395833	-11.604167
orthogroup_767	9	1	1	2	6	0.0	-11.0
orthogroup_36	5	1	1	2	5	3.45	-10.55
orthogroup_1014	6	1	1	2	3	0.0	-10.0
orthogroup_1038	5	1	1	2	3	0.0	-10.0
orthogroup_23	6	1	1	2	3	0.0	-10.0
orthogroup_870	6	1	1	2	3	0.0	-10.0
orthogroup_995	7	1	1	2	3	0.0	-10.0
orthogroup_772	8	1	1	2	4	2.25	-9.75
orthogroup_1158	5	1	1	2	3	0.333333	-9.666667
orthogroup_1445	6	1	1	2	3	2.333333	-7.666667
orthogroup_156	9	1	1	2	6	4.441667	-6.558333000000001
orthogroup_119	3	1	1	2	4	6.895833	-5.104167
orthogroup_14	4	1	1	2	3	5.333333	-4.666667
orthogroup_626	9	2	2	4	4	9.0	-2.0
orthogroup_1644	10	1	1	2	4	0.395833	-1.6041670000000003
orthogroup_1831	10	1	1	2	3	0.0	0.0
orthogroup_231	4	1	1	2	4	12.5	0.5
orthogroup_96	11	2	2	4	3	0.25	1.25
orthogroup_548	6	2	2	4	4	20.25	4.25
orthogroup_244	12	1	1	2	6	0.441667	4.441666999999999
orthogroup_971	11	1	1	2	3	0.0	5.0
orthogroup_1267	10	1	1	2	3	5.333333	5.333333
orthogroup_329	12	2	2	4	3	0.0	6.0
orthogroup_1811	13	3	3	6	5	4.333333	7.333333
orthogroup_371	4	1	1	2	3	18.083333	8.083333
orthogroup_758	12	1	1	2	4	0.25	8.25
orthogroup_65	4	1	1	2	4	20.25	8.25
orthogroup_1271	14	2	2	4	6	0.0	10.0
orthogroup_1557	12	1	1	2	3	0.083333	10.083333
orthogroup_582	12	1	1	2	3	0.333333	10.333333
orthogroup_759	10	3	3	6	5	22.7	10.700000000000003
orthogroup_195	12	1	1	2	4	4.0	12.0
orthogroup_203	13	1	1	2	3	0.0	15.0
orthogroup_1379	10	2	2	4	3	20.083333	16.083333
orthogroup_1462	10	1	1	2	7	26.619048	18.619048
orthogroup_159	14	1	1	2	3	0.333333	20.333333
orthogroup_100	12	1	1	2	3	10.333333	20.333333
orthogroup_7	12	1	1	2	3	12.0	22.0
orthogroup_554	8	2	2	4	4	39.0	23.0
orthogroup_300	10	1	1	2	4	26.916667	24.916667000000004
orthogroup_934	12	1	1	2	4	18.229167	26.229167000000004
orthogroup_610	5	1	1	2	3	46.583333	36.583333
orthogroup_900	12	1	1	2	3	35.083333	45.083333
orthogroup_565	20	2	2	4	3	4.083333	50.083332999999996
orthogroup_946	11	1	1	2	3	48.0	53.0
orthogroup_985	6	1	1	2	3	73.0	63.0
orthogroup_1365	14	1	1	2	6	71.941667	85.941667
orthogroup_1663	13	1	1	2	6	102.266667	111.266667
orthogroup_1154	10	1	1	2	3	120.333333	120.33333299999998
orthogroup_790	6	1	1	2	3	147.0	137.0
orthogroup_598	9	1	1	2	3	142.333333	137.333333
orthogroup_1538	4	1	1	2	4	155.395833	143.395833
orthogroup_76	6	1	1	2	3	176.333333	166.333333
orthogroup_334	10	1	1	2	3	204.333333	204.333333
orthogroup_1406	6	3	3	6	4	261.583333	241.58333299999998
orthogroup_1208	5	1	1	2	3	252.0	242.0
orthogroup_1363	6	1	1	2	3	284.333333	274.333333
orthogroup_204	8	1	1	2	3	357.333333	347.333333
orthogroup_80	4	1	1	2	7	510.571429	492.571429
orthogroup_1742	4	2	2	4	4	930.333333	914.333333
orthogroup_22	6	1	1	2	4	1249.0625	1237.0625
orthogroup_1733	12	1	1	2	3	1852.0	1862.0
orthogroup_2	3	1	1	2	5	1879.55	1865.55
orthogroup_1784	12	1	1	2	3	2666.333333	2676.333333
orthogroup_139	8	1	1	2	3	3051.75	3041.75
orthogroup_1636	6	1	1	2	6	7298.041667	7282.041667
orthogroup_1024	7	1	1	2	4	9572.916667	9560.916667
orthogroup_1335	11	1	1	2	5	23769.8	23770.8
orthogroup_1808	4	1	1	2	3	33056.333333	33046.333333
orthogroup_1453	11	1	1	2	4	41283.583333	41286.583333
