genome	positions	threshold	low_positions	actual_low_fraction
GCF_000005845.2	83628	0.297009	8554	0.102286
GCF_000006925.2	76368	0.325559	7939	0.103957
GCF_000006945.1	82767	0.282766	8287	0.100124
GCF_000009065.1	79672	0.495513	7980	0.100161
GCF_000018045.1	82950	0.263133	8500	0.102471
GCF_000025565.1	83264	0.274793	8411	0.101016
GCF_000069965.1	66560	0.280795	7330	0.110126
GCF_000240185.1	82393	0.248239	8675	0.105288
GCF_000270125.2	75740	0.287901	7726	0.102007
GCF_000762985.1	22069	0.489533	2900	0.131406
