membrane_orthogroup	soluble_orthogroup	tmd_index	modal_tmd_count	membrane_target_relative_position	soluble_alignment_column	soluble_median_relative_position	absolute_relative_difference	species_total
orthogroup_100	orthogroup_1495	1	12	0.03359173	16	0.03324808	0.00034365	10
orthogroup_100	orthogroup_1495	2	12	0.14987080	62	0.15089514	0.00102434	10
orthogroup_100	orthogroup_1495	3	12	0.24289406	99	0.24296675	0.00007270	10
orthogroup_100	orthogroup_1495	4	12	0.34366925	138	0.34271100	0.00095825	10
orthogroup_100	orthogroup_1495	5	12	0.39534884	159	0.39641944	0.00107060	10
orthogroup_100	orthogroup_1495	6	12	0.46511628	186	0.46547315	0.00035687	10
orthogroup_100	orthogroup_1495	7	12	0.52713178	210	0.52685422	0.00027756	10
orthogroup_100	orthogroup_1495	8	12	0.58656331	237	0.58567775	0.00088556	10
orthogroup_100	orthogroup_1495	9	12	0.66408269	268	0.66496164	0.00087895	10
orthogroup_100	orthogroup_1495	10	12	0.74160207	298	0.74168798	0.00008591	10
orthogroup_100	orthogroup_1495	11	12	0.84496124	346	0.84398977	0.00097147	10
orthogroup_100	orthogroup_1495	12	12	0.92564695	378	0.92583120	0.00018425	10
orthogroup_1013	orthogroup_1523	1	4	0.06857143	13	0.06857143	0.00000000	9
orthogroup_1013	orthogroup_1523	2	4	0.26857143	48	0.26857143	0.00000000	9
orthogroup_1013	orthogroup_1523	3	4	0.40000000	71	0.40000000	0.00000000	9
orthogroup_1013	orthogroup_1523	4	4	0.82857143	146	0.82857143	0.00000000	9
orthogroup_1014	orthogroup_1395	1	6	0.08943089	26	0.08943089	0.00000000	9
orthogroup_1014	orthogroup_1395	2	6	0.34959350	90	0.34959350	0.00000000	9
orthogroup_1014	orthogroup_1395	3	6	0.52439024	133	0.52439024	0.00000000	9
orthogroup_1014	orthogroup_1395	4	6	0.57317073	145	0.57317073	0.00000000	9
orthogroup_1014	orthogroup_1395	5	6	0.76829268	193	0.76829268	0.00000000	9
orthogroup_1014	orthogroup_1395	6	6	0.88211382	221	0.88211382	0.00000000	9
orthogroup_1024	orthogroup_1351	1	7	0.01897533	11	0.01886792	0.00010741	9
orthogroup_1024	orthogroup_1351	2	7	0.08935361	48	0.08867925	0.00067437	9
orthogroup_1024	orthogroup_1351	3	7	0.16539924	89	0.16603774	0.00063850	9
orthogroup_1024	orthogroup_1351	4	7	0.24334601	130	0.24339623	0.00005022	9
orthogroup_1024	orthogroup_1351	5	7	0.29277567	156	0.29245283	0.00032284	9
orthogroup_1024	orthogroup_1351	6	7	0.34980989	186	0.34905660	0.00075328	9
orthogroup_1024	orthogroup_1351	7	7	0.40380952	215	0.40377358	0.00003594	9
orthogroup_1031	orthogroup_1555	1	4	0.03076923	5	0.03053435	0.00023488	9
orthogroup_1031	orthogroup_1555	2	4	0.32307692	43	0.32061069	0.00246624	9
orthogroup_1031	orthogroup_1555	3	4	0.53846154	72	0.54198473	0.00352319	9
orthogroup_1031	orthogroup_1555	4	4	0.74615385	99	0.74809160	0.00193776	9
orthogroup_1038	orthogroup_172	1	5	0.01957295	12	0.01950355	0.00006941	9
orthogroup_1038	orthogroup_172	2	5	0.08540925	49	0.08510638	0.00030287	9
orthogroup_1038	orthogroup_172	3	5	0.12949640	74	0.12943262	0.00006378	9
orthogroup_1038	orthogroup_172	4	5	0.21708185	123	0.21631206	0.00076979	9
orthogroup_1038	orthogroup_172	5	5	0.28291815	161	0.28368794	0.00076979	9
orthogroup_104	orthogroup_368	1	10	0.02083333	9	0.02099738	0.00016404	8
orthogroup_104	orthogroup_368	2	10	0.11458333	45	0.11548556	0.00090223	8
orthogroup_104	orthogroup_368	3	10	0.18489583	71	0.18372703	0.00116880	8
orthogroup_104	orthogroup_368	4	10	0.28533889	110	0.28608924	0.00075035	8
orthogroup_104	orthogroup_368	5	10	0.35071598	135	0.35170604	0.00099006	8
orthogroup_104	orthogroup_368	6	10	0.46875000	180	0.46981627	0.00106627	8
orthogroup_104	orthogroup_368	7	10	0.55180144	211	0.55118110	0.00062034	8
orthogroup_104	orthogroup_368	8	10	0.66406250	254	0.66404199	0.00002051	8
orthogroup_104	orthogroup_368	9	10	0.80729167	309	0.80839895	0.00110728	8
orthogroup_104	orthogroup_368	10	10	0.91927083	351	0.91863517	0.00063566	8
orthogroup_1040	orthogroup_1314	1	10	0.00543478	15	0.00546448	0.00002970	8
orthogroup_1040	orthogroup_1314	2	10	0.05434783	42	0.05464481	0.00029698	8
orthogroup_1040	orthogroup_1314	3	10	0.10869565	72	0.10928962	0.00059397	8
orthogroup_1040	orthogroup_1314	4	10	0.16319143	102	0.16393443	0.00074300	8
orthogroup_1040	orthogroup_1314	5	10	0.28985507	171	0.28961749	0.00023759	8
orthogroup_1040	orthogroup_1314	6	10	0.67028986	380	0.67030965	0.00001980	8
orthogroup_1040	orthogroup_1314	7	10	0.72282609	409	0.72313297	0.00030688	8
orthogroup_1040	orthogroup_1314	8	10	0.77717391	439	0.77777778	0.00060386	8
orthogroup_1040	orthogroup_1314	9	10	0.83876812	472	0.83788707	0.00088105	8
orthogroup_1040	orthogroup_1314	10	10	0.95289855	535	0.95264117	0.00025738	8
orthogroup_1042	orthogroup_1459	1	10	0.00335570	3	0.00666667	0.00331096	9
orthogroup_1042	orthogroup_1459	2	10	0.09731544	30	0.09666667	0.00064877	9
orthogroup_1042	orthogroup_1459	3	10	0.18791946	57	0.18666667	0.00125280	9
orthogroup_1042	orthogroup_1459	4	10	0.28859060	88	0.29000000	0.00140940	9
orthogroup_1042	orthogroup_1459	5	10	0.38255034	116	0.38333333	0.00078300	9
orthogroup_1042	orthogroup_1459	6	10	0.46979866	142	0.46979866	0.00000000	9
orthogroup_1042	orthogroup_1459	7	10	0.58053691	181	0.58000000	0.00053691	9
orthogroup_1042	orthogroup_1459	8	10	0.68120805	211	0.68013468	0.00107337	9
orthogroup_1042	orthogroup_1459	9	10	0.78523490	242	0.78451178	0.00072311	9
orthogroup_1042	orthogroup_1459	10	10	0.86577181	267	0.86531987	0.00045195	9
orthogroup_1047	orthogroup_462	1	3	0.11929825	36	0.11929825	0.00000000	9
orthogroup_1047	orthogroup_462	2	3	0.23157895	69	0.23157895	0.00000000	9
orthogroup_1047	orthogroup_462	3	3	0.31929825	94	0.31929825	0.00000000	9
orthogroup_105	orthogroup_468	1	8	0.06779661	33	0.06794055	0.00014394	9
orthogroup_105	orthogroup_468	2	8	0.16101695	77	0.16135881	0.00034186	9
orthogroup_105	orthogroup_468	3	8	0.45762712	217	0.45859873	0.00097161	9
orthogroup_105	orthogroup_468	4	8	0.53177966	251	0.53078556	0.00099410	9
orthogroup_105	orthogroup_468	5	8	0.61440678	292	0.61358811	0.00081867	9
orthogroup_105	orthogroup_468	6	8	0.69703390	339	0.69639066	0.00064324	9
orthogroup_105	orthogroup_468	7	8	0.76519916	373	0.76433121	0.00086795	9
orthogroup_105	orthogroup_468	8	8	0.89194915	434	0.89171975	0.00022941	9
orthogroup_1050	orthogroup_1	1	6	0.00914077	6	0.00909091	0.00004986	9
orthogroup_1050	orthogroup_1	2	6	0.65447898	364	0.65454545	0.00006648	9
orthogroup_1050	orthogroup_1	3	6	0.77330896	430	0.77272727	0.00058169	9
orthogroup_1050	orthogroup_1	4	6	0.85009141	473	0.85090909	0.00081768	9
orthogroup_1050	orthogroup_1	5	6	0.89762340	499	0.89818182	0.00055842	9
orthogroup_1050	orthogroup_1	6	6	0.93784278	521	0.93818182	0.00033904	9
orthogroup_1059	orthogroup_1298	1	12	0.03241895	15	0.03125000	0.00116895	8
orthogroup_1059	orthogroup_1298	2	12	0.11221945	49	0.11298077	0.00076132	8
orthogroup_1059	orthogroup_1298	3	12	0.18952618	81	0.18990385	0.00037766	8
orthogroup_1059	orthogroup_1298	4	12	0.24937656	106	0.25000000	0.00062344	8
orthogroup_1059	orthogroup_1298	5	12	0.34413965	145	0.34375000	0.00038965	8
orthogroup_1059	orthogroup_1298	6	12	0.40897756	172	0.40865385	0.00032371	8
orthogroup_1059	orthogroup_1298	7	12	0.52369077	220	0.52403846	0.00034769	8
orthogroup_1059	orthogroup_1298	8	12	0.61346633	257	0.61298077	0.00048556	8
orthogroup_1059	orthogroup_1298	9	12	0.68827930	288	0.68750000	0.00077930	8
orthogroup_1059	orthogroup_1298	10	12	0.74563591	312	0.74519231	0.00044360	8
orthogroup_1059	orthogroup_1298	11	12	0.83790524	351	0.83894231	0.00103707	8
orthogroup_1059	orthogroup_1298	12	12	0.91521197	383	0.91586538	0.00065341	8
orthogroup_1074	orthogroup_1656	1	8	0.01145038	15	0.01145038	0.00000000	9
orthogroup_1074	orthogroup_1656	2	8	0.12213740	44	0.12213740	0.00000000	9
orthogroup_1074	orthogroup_1656	3	8	0.24427481	76	0.24427481	0.00000000	9
orthogroup_1074	orthogroup_1656	4	8	0.34351145	102	0.34351145	0.00000000	9
orthogroup_1074	orthogroup_1656	5	8	0.47709924	143	0.47709924	0.00000000	9
orthogroup_1074	orthogroup_1656	6	8	0.67938931	196	0.67938931	0.00000000	9
orthogroup_1074	orthogroup_1656	7	8	0.79770992	227	0.79770992	0.00000000	9
orthogroup_1074	orthogroup_1656	8	8	0.90076336	254	0.90076336	0.00000000	9
orthogroup_110	orthogroup_173	1	3	0.14035088	17	0.14035088	0.00000000	9
orthogroup_110	orthogroup_173	2	3	0.47368421	55	0.47368421	0.00000000	9
orthogroup_110	orthogroup_173	3	3	0.76315789	88	0.76315789	0.00000000	9
orthogroup_1107	orthogroup_933	1	4	0.08208955	19	0.08333333	0.00124378	9
orthogroup_1107	orthogroup_933	2	4	0.26717557	43	0.26515152	0.00202406	9
orthogroup_1107	orthogroup_933	3	4	0.49618321	74	0.50000000	0.00381679	9
orthogroup_1107	orthogroup_933	4	4	0.70992366	102	0.71212121	0.00219755	9
orthogroup_1110	orthogroup_1016	1	5	0.08016878	20	0.07883953	0.00132924	8
orthogroup_1110	orthogroup_1016	2	5	0.24050633	59	0.24066804	0.00016171	8
orthogroup_1110	orthogroup_1016	3	5	0.42616034	104	0.42739325	0.00123291	8
orthogroup_1110	orthogroup_1016	4	5	0.66666667	168	0.66808767	0.00142100	8
orthogroup_1110	orthogroup_1016	5	5	0.83966245	209	0.83840800	0.00125444	8
orthogroup_1124	orthogroup_1209	1	4	0.06766917	33	0.06801008	0.00034090	9
orthogroup_1124	orthogroup_1209	2	4	0.66582915	270	0.66498741	0.00084174	9
orthogroup_1124	orthogroup_1209	3	4	0.78140704	316	0.78085642	0.00055061	9
orthogroup_1124	orthogroup_1209	4	4	0.90954774	367	0.90931990	0.00022784	9
