membrane_orthogroup	species_coverage	membrane_median_length	candidate_rank	candidate_orthogroup	candidate_median_length	absolute_length_difference	relative_length_difference
orthogroup_100	10	391.5	1	orthogroup_1495	392.0	0.5	0.001277
orthogroup_1013	9	176.0	1	orthogroup_1523	176.0	0.0	0.0
orthogroup_1014	9	247.0	1	orthogroup_1395	247.0	0.0	0.0
orthogroup_1024	9	527.0	2	orthogroup_1351	530.0	3.0	0.005693
orthogroup_1031	9	131.0	4	orthogroup_1555	132.0	1.0	0.007634
orthogroup_1038	9	563.0	1	orthogroup_172	565.0	2.0	0.003552
orthogroup_104	8	385.0	1	orthogroup_368	382.0	3.0	0.007792
orthogroup_1040	8	553.0	1	orthogroup_1314	550.0	3.0	0.005425
orthogroup_1042	9	299.0	1	orthogroup_1459	299.0	0.0	0.0
orthogroup_1047	9	286.0	1	orthogroup_462	286.0	0.0	0.0
orthogroup_105	9	473.0	1	orthogroup_468	472.0	1.0	0.002114
orthogroup_1050	9	548.0	4	orthogroup_1	551.0	3.0	0.005474
orthogroup_1059	8	402.0	4	orthogroup_1298	417.0	15.0	0.037313
orthogroup_1074	9	263.0	1	orthogroup_1656	263.0	0.0	0.0
orthogroup_110	9	115.0	1	orthogroup_173	115.0	0.0	0.0
orthogroup_1107	9	132.0	5	orthogroup_933	133.0	1.0	0.007576
orthogroup_1110	8	238.0	2	orthogroup_1016	242.0	4.0	0.016807
orthogroup_1124	9	399.0	1	orthogroup_1209	398.0	1.0	0.002506
orthogroup_1141	10	379.0	1	orthogroup_635	378.5	0.5	0.001319
orthogroup_1154	9	352.0	1	orthogroup_263	352.0	0.0	0.0
orthogroup_1158	9	586.0	1	orthogroup_1518	586.0	0.0	0.0
orthogroup_1177	10	312.5	1	orthogroup_254	313.0	0.5	0.0016
orthogroup_1181	10	582.0	1	orthogroup_814	581.0	1.0	0.001718
orthogroup_119	8	152.0	2	orthogroup_251	157.0	5.0	0.032895
orthogroup_1208	9	711.0	1	orthogroup_1534	712.0	1.0	0.001406
orthogroup_1225	9	151.0	1	orthogroup_1607	151.0	0.0	0.0
orthogroup_1267	9	370.0	2	orthogroup_1232	369.0	1.0	0.002703
orthogroup_1270	9	234.0	1	orthogroup_1068	234.0	0.0	0.0
orthogroup_1271	10	509.0	1	orthogroup_143	513.0	4.0	0.007859
orthogroup_1294	8	295.0	1	orthogroup_73	288.0	7.0	0.023729
orthogroup_1309	8	406.0	1	orthogroup_78	398.0	8.0	0.019704
orthogroup_1311	9	230.0	2	orthogroup_873	230.0	0.0	0.0
orthogroup_1313	9	201.0	1	orthogroup_1089	201.0	0.0	0.0
orthogroup_1328	10	296.0	2	orthogroup_811	297.0	1.0	0.003378
orthogroup_1335	9	1108.0	1	orthogroup_187	1123.0	15.0	0.013538
orthogroup_136	9	260.0	1	orthogroup_357	260.0	0.0	0.0
orthogroup_1362	9	231.0	1	orthogroup_532	231.0	0.0	0.0
orthogroup_1363	9	237.0	1	orthogroup_1075	237.0	0.0	0.0
orthogroup_1365	10	485.0	1	orthogroup_1028	490.0	5.0	0.010309
orthogroup_1379	10	443.0	1	orthogroup_180	445.0	2.0	0.004515
orthogroup_1380	8	393.0	1	orthogroup_313	395.0	2.0	0.005089
orthogroup_1384	10	319.0	1	orthogroup_84	319.0	0.0	0.0
orthogroup_139	9	772.0	1	orthogroup_805	761.0	11.0	0.014249
orthogroup_14	8	188.0	2	orthogroup_349	192.0	4.0	0.021277
orthogroup_140	10	295.0	3	orthogroup_1600	292.0	3.0	0.010169
orthogroup_1406	9	573.0	1	orthogroup_1079	576.0	3.0	0.005236
orthogroup_1408	9	417.0	3	orthogroup_45	419.0	2.0	0.004796
orthogroup_141	10	341.5	1	orthogroup_1460	342.0	0.5	0.001464
orthogroup_1410	9	414.0	1	orthogroup_903	414.0	0.0	0.0
orthogroup_1412	9	296.0	1	orthogroup_1329	296.0	0.0	0.0
orthogroup_1435	8	300.0	1	orthogroup_1297	298.0	2.0	0.006667
orthogroup_1439	9	463.0	1	orthogroup_1186	465.0	2.0	0.00432
orthogroup_1443	9	243.0	1	orthogroup_1466	237.0	6.0	0.024691
orthogroup_1444	9	120.0	1	orthogroup_1454	120.0	0.0	0.0
