orthogroup	genome	protein_id	start_codon	end_codon	length_codons	mean_relative_weight
orthogroup_100	GCF_000009065.1	WP_002220711.1	387	389	3	0.392627
orthogroup_100	GCF_000018045.1	WP_012134155.1	203	205	3	0.141951
orthogroup_100	GCF_000069965.1	WP_004245211.1	386	388	3	0.213479
orthogroup_100	GCF_000270125.2	WP_013024560.1	109	111	3	0.226015
orthogroup_100	GCF_000270125.2	WP_013024560.1	386	388	3	0.167785
orthogroup_1013	GCF_000069965.1	WP_004248244.1	137	139	3	0.210165
orthogroup_1013	GCF_000240185.1	YP_005227625.1	9	11	3	0.134942
orthogroup_1014	GCF_000005845.2	NP_415771.1	233	235	3	0.200662
orthogroup_1014	GCF_000006925.2	NP_707164.2	125	129	5	0.245554
orthogroup_1014	GCF_000006925.2	NP_707164.2	233	235	3	0.207314
orthogroup_1014	GCF_000006945.1	NP_460693.1	202	205	4	0.199353
orthogroup_1014	GCF_000009065.1	WP_002210639.1	205	207	3	0.247895
orthogroup_1014	GCF_000018045.1	WP_012132212.1	77	81	5	0.189115
orthogroup_1014	GCF_000018045.1	WP_012132212.1	233	235	3	0.164424
orthogroup_1014	GCF_000240185.1	YP_005226446.1	35	37	3	0.188130
orthogroup_1024	GCF_000005845.2	NP_416567.4	384	386	3	0.270699
orthogroup_1024	GCF_000006945.1	NP_461064.1	476	478	3	0.241381
orthogroup_1024	GCF_000009065.1	WP_002211875.1	515	517	3	0.362422
orthogroup_1024	GCF_000270125.2	WP_014594084.1	297	299	3	0.247980
orthogroup_1024	GCF_000270125.2	WP_014594084.1	383	385	3	0.215104
orthogroup_1024	GCF_000270125.2	WP_014594084.1	492	494	3	0.212853
orthogroup_1031	GCF_000240185.1	YP_005228539.1	28	30	3	0.164707
orthogroup_1038	GCF_000005845.2	NP_418002.2	133	135	3	0.253054
orthogroup_1038	GCF_000005845.2	NP_418002.2	147	149	3	0.207772
orthogroup_1038	GCF_000006925.2	NP_709324.3	144	146	3	0.254185
orthogroup_1038	GCF_000006925.2	NP_709324.3	158	160	3	0.205914
orthogroup_1038	GCF_000025565.1	WP_023620079.1	10	12	3	0.147875
orthogroup_1038	GCF_000025565.1	WP_023620079.1	133	135	3	0.234365
orthogroup_1038	GCF_000270125.2	WP_014594986.1	313	315	3	0.221638
orthogroup_104	GCF_000009065.1	WP_002210801.1	41	44	4	0.306351
orthogroup_104	GCF_000025565.1	WP_013097935.1	75	77	3	0.155046
orthogroup_104	GCF_000240185.1	YP_005227930.1	261	264	4	0.212389
orthogroup_1040	GCF_000005845.2	NP_418140.4	29	31	3	0.219478
orthogroup_1040	GCF_000006925.2	NP_709513.2	29	31	3	0.246358
orthogroup_1040	GCF_000009065.1	WP_002209634.1	413	415	3	0.298356
orthogroup_1040	GCF_000240185.1	YP_005229561.1	4	6	3	0.133495
orthogroup_1040	GCF_000240185.1	YP_005229561.1	395	398	4	0.166110
orthogroup_1042	GCF_000009065.1	WP_002215597.1	205	207	3	0.250740
orthogroup_1042	GCF_000270125.2	WP_013024088.1	2	4	3	0.182330
orthogroup_1042	GCF_000270125.2	WP_013024088.1	57	59	3	0.173050
orthogroup_1047	GCF_000006945.1	NP_461983.1	23	25	3	0.224144
orthogroup_105	GCF_000005845.2	NP_414697.1	433	435	3	0.208902
orthogroup_105	GCF_000006945.1	NP_459208.1	433	435	3	0.195302
orthogroup_105	GCF_000018045.1	WP_012134002.1	5	7	3	0.237410
orthogroup_105	GCF_000018045.1	WP_012134002.1	24	26	3	0.097809
orthogroup_105	GCF_000018045.1	WP_012134002.1	433	435	3	0.140219
orthogroup_105	GCF_000025565.1	WP_023620753.1	433	435	3	0.116181
orthogroup_105	GCF_000069965.1	WP_012368252.1	330	332	3	0.241751
orthogroup_105	GCF_000069965.1	WP_012368252.1	345	347	3	0.278738
orthogroup_105	GCF_000240185.1	YP_005225204.1	20	22	3	0.215439
orthogroup_105	GCF_000240185.1	YP_005225204.1	24	27	4	0.139204
orthogroup_105	GCF_000240185.1	YP_005225204.1	463	465	3	0.115164
orthogroup_105	GCF_000762985.1	WP_043411869.1	118	121	4	0.345571
orthogroup_105	GCF_000762985.1	WP_043411869.1	269	271	3	0.301486
orthogroup_1050	GCF_000009065.1	WP_002220739.1	7	9	3	0.244229
orthogroup_1050	GCF_000069965.1	WP_004246512.1	342	344	3	0.215775
orthogroup_1050	GCF_000069965.1	WP_004246512.1	505	507	3	0.262132
orthogroup_1051	GCF_000009065.1	WP_002209621.1	617	619	3	0.428598
orthogroup_1051	GCF_000762985.1	WP_043413401.1	3	5	3	0.089406
orthogroup_1059	GCF_000009065.1	WP_002211217.1	390	392	3	0.337625
orthogroup_1074	GCF_000009065.1	WP_002209455.1	246	248	3	0.310624
orthogroup_1074	GCF_000018045.1	WP_012134700.1	5	9	5	0.202618
orthogroup_1074	GCF_000018045.1	WP_012134700.1	21	23	3	0.215323
orthogroup_1074	GCF_000025565.1	WP_014832951.1	184	187	4	0.189887
orthogroup_1074	GCF_000240185.1	YP_005228349.1	5	7	3	0.170336
