anchor_type	membrane_orthogroup	membrane_family_median_variance	soluble_family_median_variance	soluble_minus_membrane
start	orthogroup_1014	0.333333	217.333333	217.0
start	orthogroup_1158	0.333333	41362.666667	41362.333333999995
start	orthogroup_1335	24030.3	40420.666667	16390.366667
start	orthogroup_1406	816.75	1129.0	312.25
start	orthogroup_159	0.333333	261.333333	261.0
start	orthogroup_1663	112.966667	20.333333	-92.633334
start	orthogroup_1733	1936.0	3222.0	1286.0
start	orthogroup_23	0.0	75.0	75.0
start	orthogroup_300	28.666667	169.03125	140.364583
start	orthogroup_334	244.0	65.333333	-178.66666700000002
start	orthogroup_36	9.5	0.0	-9.5
start	orthogroup_371	18.083333	24.083333	6.0
start	orthogroup_540	0.075	0.916667	0.841667
start	orthogroup_548	73.7083335	0.075	-73.63333349999999
start	orthogroup_626	26.6666665	0.041667	-26.6249995
start	orthogroup_790	147.0	14145.333333	13998.333333
start	orthogroup_968	1736.78125	4720.333333	2983.5520829999996
end	orthogroup_1014	0.0	217.333333	217.333333
end	orthogroup_1158	0.333333	40598.5	40598.166667
end	orthogroup_1335	23769.8	40420.666667	16650.866667
end	orthogroup_1406	850.083333	1129.0	278.91666699999996
end	orthogroup_1663	102.266667	24.333333	-77.933334
end	orthogroup_1733	1852.0	3222.0	1370.0
end	orthogroup_23	0.0	75.0	75.0
end	orthogroup_300	26.916667	4.2916665	-22.6250005
end	orthogroup_334	204.333333	0.0	-204.333333
end	orthogroup_36	3.45	0.0	-3.45
end	orthogroup_371	101.333333	24.083333	-77.25
end	orthogroup_540	0.075	0.916667	0.841667
end	orthogroup_548	48.375	0.075	-48.3
end	orthogroup_626	24.625	0.041667	-24.583333
end	orthogroup_758	0.25	833.333333	833.083333
end	orthogroup_790	147.0	14145.333333	13998.333333
end	orthogroup_968	1741.697917	32788.25	31046.552083
