orthogroup	species_count	proteins_with_tmds	modal_tmd_count	proteins_pass	correspondence_fraction	topology_status
orthogroup_100	10	10	12	10	1.000	PASS
orthogroup_1013	9	9	4	9	1.000	PASS
orthogroup_1014	9	9	6	9	1.000	PASS
orthogroup_1024	9	9	7	9	1.000	PASS
orthogroup_1031	9	9	4	9	1.000	PASS
orthogroup_1038	9	9	5	9	1.000	PASS
orthogroup_104	8	8	10	8	1.000	PASS
orthogroup_1040	8	8	10	8	1.000	PASS
orthogroup_1042	9	9	10	9	1.000	PASS
orthogroup_1047	9	9	3	9	1.000	PASS
orthogroup_105	9	9	8	9	1.000	PASS
orthogroup_1050	9	9	6	8	0.889	PASS
orthogroup_1051	9	9	10	8	0.889	PASS
orthogroup_1059	8	8	12	8	1.000	PASS
orthogroup_1074	9	9	8	9	1.000	PASS
orthogroup_110	9	9	3	9	1.000	PASS
orthogroup_1107	9	9	4	9	1.000	PASS
orthogroup_1110	8	8	5	8	1.000	PASS
orthogroup_1124	9	9	4	9	1.000	PASS
orthogroup_1141	10	10	9	10	1.000	PASS
orthogroup_1154	9	9	10	9	1.000	PASS
orthogroup_1158	9	9	5	9	1.000	PASS
orthogroup_1177	10	10	6	10	1.000	PASS
orthogroup_1181	10	10	6	10	1.000	PASS
orthogroup_119	8	8	3	8	1.000	PASS
orthogroup_1208	9	9	5	9	1.000	PASS
orthogroup_1225	9	9	3	9	1.000	PASS
orthogroup_1243	8	8	12	8	1.000	PASS
orthogroup_1267	9	9	10	9	1.000	PASS
orthogroup_1270	9	9	7	9	1.000	PASS
orthogroup_1271	10	10	14	10	1.000	PASS
orthogroup_1294	8	8	4	8	1.000	PASS
orthogroup_1307	8	8	12	8	1.000	PASS
orthogroup_1309	8	8	12	8	1.000	PASS
orthogroup_1311	9	9	3	9	1.000	PASS
orthogroup_1313	9	9	5	9	1.000	PASS
orthogroup_1328	10	10	6	10	1.000	PASS
orthogroup_1335	9	9	11	9	1.000	PASS
orthogroup_136	9	9	5	9	1.000	PASS
orthogroup_1362	9	9	6	9	1.000	PASS
orthogroup_1363	9	9	6	9	1.000	PASS
orthogroup_1365	10	10	14	9	0.900	PASS
orthogroup_1379	10	10	10	10	1.000	PASS
orthogroup_1380	8	8	12	8	1.000	PASS
orthogroup_1384	10	10	6	10	1.000	PASS
orthogroup_139	9	9	8	9	1.000	PASS
orthogroup_14	8	8	4	8	1.000	PASS
orthogroup_140	10	10	6	10	1.000	PASS
orthogroup_1400	8	8	7	8	1.000	PASS
orthogroup_1406	9	9	6	9	1.000	PASS
orthogroup_1408	9	9	8	9	1.000	PASS
orthogroup_141	10	10	6	10	1.000	PASS
orthogroup_1410	9	9	4	9	1.000	PASS
orthogroup_1412	9	9	6	9	1.000	PASS
orthogroup_1435	8	8	6	8	1.000	PASS
orthogroup_1439	9	9	14	9	1.000	PASS
orthogroup_1443	9	9	6	8	0.889	PASS
orthogroup_1444	9	9	4	9	1.000	PASS
orthogroup_1445	9	9	6	9	1.000	PASS
orthogroup_145	8	8	6	8	1.000	PASS
orthogroup_1453	8	8	11	8	1.000	PASS
orthogroup_1457	10	10	10	10	1.000	PASS
orthogroup_1462	9	9	10	9	1.000	PASS
orthogroup_147	8	8	8	8	1.000	PASS
orthogroup_1477	8	8	3	8	1.000	PASS
orthogroup_1481	9	9	3	9	1.000	PASS
orthogroup_1515	8	8	4	8	1.000	PASS
orthogroup_1519	10	10	10	10	1.000	PASS
orthogroup_1524	9	9	3	9	1.000	PASS
orthogroup_1538	9	9	4	9	1.000	PASS
orthogroup_1554	8	8	6	8	1.000	PASS
orthogroup_1557	8	8	12	8	1.000	PASS
