membrane_orthogroup	soluble_orthogroup	tmd_index	modal_tmd_count	membrane_target_relative_position	soluble_alignment_column	soluble_median_relative_position	absolute_relative_difference	species_total
orthogroup_100	orthogroup_1495	1	12	0.07307138	32	0.07416880	0.00109741	10
orthogroup_100	orthogroup_1495	2	12	0.20155039	82	0.20204604	0.00049565	10
orthogroup_100	orthogroup_1495	3	12	0.29457364	119	0.29411765	0.00045600	10
orthogroup_100	orthogroup_1495	4	12	0.36692506	147	0.36572890	0.00119616	10
orthogroup_100	orthogroup_1495	5	12	0.44702842	179	0.44757033	0.00054191	10
orthogroup_100	orthogroup_1495	6	12	0.50904393	203	0.50895141	0.00009252	10
orthogroup_100	orthogroup_1495	7	12	0.56330749	228	0.56265985	0.00064765	10
orthogroup_100	orthogroup_1495	8	12	0.60981912	246	0.60869565	0.00112347	10
orthogroup_100	orthogroup_1495	9	12	0.70542636	284	0.70588235	0.00045600	10
orthogroup_100	orthogroup_1495	10	12	0.79844961	320	0.79795396	0.00049565	10
orthogroup_100	orthogroup_1495	11	12	0.89788827	367	0.89769821	0.00019006	10
orthogroup_100	orthogroup_1495	12	12	0.97611728	398	0.97698210	0.00086481	10
orthogroup_1013	orthogroup_1523	1	4	0.17142857	31	0.17142857	0.00000000	9
orthogroup_1013	orthogroup_1523	2	4	0.35428571	63	0.35428571	0.00000000	9
orthogroup_1013	orthogroup_1523	3	4	0.48571429	86	0.48571429	0.00000000	9
orthogroup_1013	orthogroup_1523	4	4	0.92000000	162	0.92000000	0.00000000	9
orthogroup_1014	orthogroup_1395	1	6	0.15040650	41	0.15040650	0.00000000	9
orthogroup_1014	orthogroup_1395	2	6	0.41869919	107	0.41869919	0.00000000	9
orthogroup_1014	orthogroup_1395	3	6	0.56504065	143	0.56504065	0.00000000	9
orthogroup_1014	orthogroup_1395	4	6	0.64634146	163	0.64634146	0.00000000	9
orthogroup_1014	orthogroup_1395	5	6	0.83739837	210	0.83739837	0.00000000	9
orthogroup_1014	orthogroup_1395	6	6	0.96341463	241	0.96341463	0.00000000	9
orthogroup_1024	orthogroup_1351	1	7	0.05893536	32	0.05849057	0.00044480	9
orthogroup_1024	orthogroup_1351	2	7	0.12737643	69	0.12830189	0.00092546	9
orthogroup_1024	orthogroup_1351	3	7	0.19465649	104	0.19433962	0.00031687	9
orthogroup_1024	orthogroup_1351	4	7	0.28326996	151	0.28301887	0.00025109	9
orthogroup_1024	orthogroup_1351	5	7	0.32571429	174	0.32641509	0.00070081	9
orthogroup_1024	orthogroup_1351	6	7	0.38783270	207	0.38867925	0.00084655	9
orthogroup_1024	orthogroup_1351	7	7	0.44083969	235	0.44150943	0.00066974	9
orthogroup_1031	orthogroup_1555	1	4	0.18461538	25	0.18320611	0.00140928	9
orthogroup_1031	orthogroup_1555	2	4	0.45384615	60	0.45038168	0.00346447	9
orthogroup_1031	orthogroup_1555	3	4	0.69230769	92	0.69465649	0.00234880	9
